序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,省级,2020/2/9 9:00,2020/2/10 10:00,中国,内蒙古自治区,,,4,4,,,58,13,5,,,,内蒙古自治区卫生健康委员会,2020/2/10 10:04,"2020年2月9日9时至10日10时，内蒙古自治区报告新冠肺炎新增确诊病例4例。新增疑似病例4例。

　　其中：新增确诊病例为通辽市的霍林郭勒市3例、包头市东河区1例。

　　新增通辽市的霍林郭勒市3例确诊病例，均为通辽市的霍林郭勒市2月7日确诊病例的密切接触者，他们系一家人，春节期间曾多次家庭聚餐，在隔离医学观察期间发病。2月8日经通辽市疾控中心实验室检测和专家会诊，这3人确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增确诊病例包头市东河区1例，女，18岁，系土右旗确诊病例的密切接触者。2月9日，经实验室检测和专家组会诊，确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增疑似病例4例为包头市土右旗1例、巴彦淖尔市乌拉特中旗1例、锡林郭勒盟多伦县1例、呼伦贝尔市莫力达瓦旗1例。

　　截至2月10日10时，内蒙古自治区累计报告新冠肺炎确诊病例58例，其中：

　　1.鄂尔多斯市11例（达拉特旗9例、东胜区1例已痊愈出院、鄂托克前旗1例已痊愈出院）
2.包头市11例（土默特右旗7例、昆都仑区3例、东河区1例）
3.呼和浩特市7例(玉泉区3例、新城区2例、赛罕区1例、回民区1例)

　　4.巴彦淖尔市6例（五原县2例、临河区2例、乌拉特中旗2例）

　　5.通辽市6例（霍林郭勒市5例、经济开发区1例）

　　6.呼伦贝尔市5例（莫力达瓦旗3例、满洲里市1例已痊愈出院、牙克石市1例）

　　7.赤峰市4例（元宝山区2例、松山区1例已痊愈出院、林西县1例）

　　8.乌兰察布市3例（化德县2例、四子王旗1例）

　　9.乌海市海勃湾区2例

　　10.锡林郭勒盟2例（锡林浩特市1例、二连浩特市1例已痊愈出院）?

　　11.兴安盟乌兰浩特市1例

　　疑似病例13例（巴彦淖尔市乌拉特中旗2例、临河区1例；包头市土默特右旗2例；赤峰市元宝山区2例；呼伦贝尔市海拉尔区2例、牙克石市1例、莫力达瓦旗1例；乌海市乌达区1例、锡林郭勒盟多伦县1例）。均在定点医院接受隔离治疗。通辽市科尔沁区1例疑似病例排除。目前，尚在接受医学观察的密切接触者1297人。当日解除医学观察286人。",http://wjw.nmg.gov.cn/doc/2020/02/10/291316.shtml,,,,2020/2/10 11:15,手动,吕慧,已核查,,,,,,,,,,,
2,地区级,2020/2/9 9:00,2020/2/10 10:00,中国,内蒙古自治区,巴彦淖尔市,,,1,,,6,3,,,,,内蒙古自治区卫生健康委员会,2020/2/10 10:04,"2020年2月9日9时至10日10时，内蒙古自治区报告新冠肺炎新增确诊病例4例。新增疑似病例4例。

　　其中：新增确诊病例为通辽市的霍林郭勒市3例、包头市东河区1例。

　　新增通辽市的霍林郭勒市3例确诊病例，均为通辽市的霍林郭勒市2月7日确诊病例的密切接触者，他们系一家人，春节期间曾多次家庭聚餐，在隔离医学观察期间发病。2月8日经通辽市疾控中心实验室检测和专家会诊，这3人确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增确诊病例包头市东河区1例，女，18岁，系土右旗确诊病例的密切接触者。2月9日，经实验室检测和专家组会诊，确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增疑似病例4例为包头市土右旗1例、巴彦淖尔市乌拉特中旗1例、锡林郭勒盟多伦县1例、呼伦贝尔市莫力达瓦旗1例。

　　截至2月10日10时，内蒙古自治区累计报告新冠肺炎确诊病例58例，其中：

　　1.鄂尔多斯市11例（达拉特旗9例、东胜区1例已痊愈出院、鄂托克前旗1例已痊愈出院）
2.包头市11例（土默特右旗7例、昆都仑区3例、东河区1例）
3.呼和浩特市7例(玉泉区3例、新城区2例、赛罕区1例、回民区1例)

　　4.巴彦淖尔市6例（五原县2例、临河区2例、乌拉特中旗2例）

　　5.通辽市6例（霍林郭勒市5例、经济开发区1例）

　　6.呼伦贝尔市5例（莫力达瓦旗3例、满洲里市1例已痊愈出院、牙克石市1例）

　　7.赤峰市4例（元宝山区2例、松山区1例已痊愈出院、林西县1例）

　　8.乌兰察布市3例（化德县2例、四子王旗1例）

　　9.乌海市海勃湾区2例

　　10.锡林郭勒盟2例（锡林浩特市1例、二连浩特市1例已痊愈出院）?

　　11.兴安盟乌兰浩特市1例

　　疑似病例13例（巴彦淖尔市乌拉特中旗2例、临河区1例；包头市土默特右旗2例；赤峰市元宝山区2例；呼伦贝尔市海拉尔区2例、牙克石市1例、莫力达瓦旗1例；乌海市乌达区1例、锡林郭勒盟多伦县1例）。均在定点医院接受隔离治疗。通辽市科尔沁区1例疑似病例排除。目前，尚在接受医学观察的密切接触者1297人。当日解除医学观察286人。",http://wjw.nmg.gov.cn/doc/2020/02/10/291316.shtml,,,,2020/2/10 11:15,手动,吕慧,已核查,,,,,,,,,,,
3,地区级,2020/2/9 9:00,2020/2/10 10:00,中国,内蒙古自治区,巴彦淖尔市,乌拉特中旗,,1,,,,,,,,,内蒙古自治区卫生健康委员会,2020/2/10 10:04,"2020年2月9日9时至10日10时，内蒙古自治区报告新冠肺炎新增确诊病例4例。新增疑似病例4例。

　　其中：新增确诊病例为通辽市的霍林郭勒市3例、包头市东河区1例。

　　新增通辽市的霍林郭勒市3例确诊病例，均为通辽市的霍林郭勒市2月7日确诊病例的密切接触者，他们系一家人，春节期间曾多次家庭聚餐，在隔离医学观察期间发病。2月8日经通辽市疾控中心实验室检测和专家会诊，这3人确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增确诊病例包头市东河区1例，女，18岁，系土右旗确诊病例的密切接触者。2月9日，经实验室检测和专家组会诊，确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增疑似病例4例为包头市土右旗1例、巴彦淖尔市乌拉特中旗1例、锡林郭勒盟多伦县1例、呼伦贝尔市莫力达瓦旗1例。

　　截至2月10日10时，内蒙古自治区累计报告新冠肺炎确诊病例58例，其中：

　　1.鄂尔多斯市11例（达拉特旗9例、东胜区1例已痊愈出院、鄂托克前旗1例已痊愈出院）
2.包头市11例（土默特右旗7例、昆都仑区3例、东河区1例）
3.呼和浩特市7例(玉泉区3例、新城区2例、赛罕区1例、回民区1例)

　　4.巴彦淖尔市6例（五原县2例、临河区2例、乌拉特中旗2例）

　　5.通辽市6例（霍林郭勒市5例、经济开发区1例）

　　6.呼伦贝尔市5例（莫力达瓦旗3例、满洲里市1例已痊愈出院、牙克石市1例）

　　7.赤峰市4例（元宝山区2例、松山区1例已痊愈出院、林西县1例）

　　8.乌兰察布市3例（化德县2例、四子王旗1例）

　　9.乌海市海勃湾区2例

　　10.锡林郭勒盟2例（锡林浩特市1例、二连浩特市1例已痊愈出院）?

　　11.兴安盟乌兰浩特市1例

　　疑似病例13例（巴彦淖尔市乌拉特中旗2例、临河区1例；包头市土默特右旗2例；赤峰市元宝山区2例；呼伦贝尔市海拉尔区2例、牙克石市1例、莫力达瓦旗1例；乌海市乌达区1例、锡林郭勒盟多伦县1例）。均在定点医院接受隔离治疗。通辽市科尔沁区1例疑似病例排除。目前，尚在接受医学观察的密切接触者1297人。当日解除医学观察286人。",http://wjw.nmg.gov.cn/doc/2020/02/10/291316.shtml,,,,2020/2/10 11:15,手动,吕慧,已核查,,,,,,,,,,,
4,地区级,2020/2/9 9:00,2020/2/10 10:00,中国,内蒙古自治区,包头市,,1,1,,,11,2,,,,,内蒙古自治区卫生健康委员会,2020/2/10 10:04,"2020年2月9日9时至10日10时，内蒙古自治区报告新冠肺炎新增确诊病例4例。新增疑似病例4例。

　　其中：新增确诊病例为通辽市的霍林郭勒市3例、包头市东河区1例。

　　新增通辽市的霍林郭勒市3例确诊病例，均为通辽市的霍林郭勒市2月7日确诊病例的密切接触者，他们系一家人，春节期间曾多次家庭聚餐，在隔离医学观察期间发病。2月8日经通辽市疾控中心实验室检测和专家会诊，这3人确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增确诊病例包头市东河区1例，女，18岁，系土右旗确诊病例的密切接触者。2月9日，经实验室检测和专家组会诊，确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增疑似病例4例为包头市土右旗1例、巴彦淖尔市乌拉特中旗1例、锡林郭勒盟多伦县1例、呼伦贝尔市莫力达瓦旗1例。

　　截至2月10日10时，内蒙古自治区累计报告新冠肺炎确诊病例58例，其中：

　　1.鄂尔多斯市11例（达拉特旗9例、东胜区1例已痊愈出院、鄂托克前旗1例已痊愈出院）
2.包头市11例（土默特右旗7例、昆都仑区3例、东河区1例）
3.呼和浩特市7例(玉泉区3例、新城区2例、赛罕区1例、回民区1例)

　　4.巴彦淖尔市6例（五原县2例、临河区2例、乌拉特中旗2例）

　　5.通辽市6例（霍林郭勒市5例、经济开发区1例）

　　6.呼伦贝尔市5例（莫力达瓦旗3例、满洲里市1例已痊愈出院、牙克石市1例）

　　7.赤峰市4例（元宝山区2例、松山区1例已痊愈出院、林西县1例）

　　8.乌兰察布市3例（化德县2例、四子王旗1例）

　　9.乌海市海勃湾区2例

　　10.锡林郭勒盟2例（锡林浩特市1例、二连浩特市1例已痊愈出院）?

　　11.兴安盟乌兰浩特市1例

　　疑似病例13例（巴彦淖尔市乌拉特中旗2例、临河区1例；包头市土默特右旗2例；赤峰市元宝山区2例；呼伦贝尔市海拉尔区2例、牙克石市1例、莫力达瓦旗1例；乌海市乌达区1例、锡林郭勒盟多伦县1例）。均在定点医院接受隔离治疗。通辽市科尔沁区1例疑似病例排除。目前，尚在接受医学观察的密切接触者1297人。当日解除医学观察286人。",http://wjw.nmg.gov.cn/doc/2020/02/10/291316.shtml,,,,2020/2/10 11:15,手动,吕慧,已核查,,,,,,,,,,,
5,地区级,2020/2/9 9:00,2020/2/10 10:00,中国,内蒙古自治区,包头市,东河区,1,,,,,,,,,,内蒙古自治区卫生健康委员会,2020/2/10 10:04,"2020年2月9日9时至10日10时，内蒙古自治区报告新冠肺炎新增确诊病例4例。新增疑似病例4例。

　　其中：新增确诊病例为通辽市的霍林郭勒市3例、包头市东河区1例。

　　新增通辽市的霍林郭勒市3例确诊病例，均为通辽市的霍林郭勒市2月7日确诊病例的密切接触者，他们系一家人，春节期间曾多次家庭聚餐，在隔离医学观察期间发病。2月8日经通辽市疾控中心实验室检测和专家会诊，这3人确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增确诊病例包头市东河区1例，女，18岁，系土右旗确诊病例的密切接触者。2月9日，经实验室检测和专家组会诊，确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增疑似病例4例为包头市土右旗1例、巴彦淖尔市乌拉特中旗1例、锡林郭勒盟多伦县1例、呼伦贝尔市莫力达瓦旗1例。

　　截至2月10日10时，内蒙古自治区累计报告新冠肺炎确诊病例58例，其中：

　　1.鄂尔多斯市11例（达拉特旗9例、东胜区1例已痊愈出院、鄂托克前旗1例已痊愈出院）
2.包头市11例（土默特右旗7例、昆都仑区3例、东河区1例）
3.呼和浩特市7例(玉泉区3例、新城区2例、赛罕区1例、回民区1例)

　　4.巴彦淖尔市6例（五原县2例、临河区2例、乌拉特中旗2例）

　　5.通辽市6例（霍林郭勒市5例、经济开发区1例）

　　6.呼伦贝尔市5例（莫力达瓦旗3例、满洲里市1例已痊愈出院、牙克石市1例）

　　7.赤峰市4例（元宝山区2例、松山区1例已痊愈出院、林西县1例）

　　8.乌兰察布市3例（化德县2例、四子王旗1例）

　　9.乌海市海勃湾区2例

　　10.锡林郭勒盟2例（锡林浩特市1例、二连浩特市1例已痊愈出院）?

　　11.兴安盟乌兰浩特市1例

　　疑似病例13例（巴彦淖尔市乌拉特中旗2例、临河区1例；包头市土默特右旗2例；赤峰市元宝山区2例；呼伦贝尔市海拉尔区2例、牙克石市1例、莫力达瓦旗1例；乌海市乌达区1例、锡林郭勒盟多伦县1例）。均在定点医院接受隔离治疗。通辽市科尔沁区1例疑似病例排除。目前，尚在接受医学观察的密切接触者1297人。当日解除医学观察286人。",http://wjw.nmg.gov.cn/doc/2020/02/10/291316.shtml,,,,2020/2/10 11:15,手动,吕慧,已核查,,,,,,,,,,,
6,地区级,2020/2/9 9:00,2020/2/10 10:00,中国,内蒙古自治区,包头市,土右旗,,1,,,,,,,,,内蒙古自治区卫生健康委员会,2020/2/10 10:04,"2020年2月9日9时至10日10时，内蒙古自治区报告新冠肺炎新增确诊病例4例。新增疑似病例4例。

　　其中：新增确诊病例为通辽市的霍林郭勒市3例、包头市东河区1例。

　　新增通辽市的霍林郭勒市3例确诊病例，均为通辽市的霍林郭勒市2月7日确诊病例的密切接触者，他们系一家人，春节期间曾多次家庭聚餐，在隔离医学观察期间发病。2月8日经通辽市疾控中心实验室检测和专家会诊，这3人确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增确诊病例包头市东河区1例，女，18岁，系土右旗确诊病例的密切接触者。2月9日，经实验室检测和专家组会诊，确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增疑似病例4例为包头市土右旗1例、巴彦淖尔市乌拉特中旗1例、锡林郭勒盟多伦县1例、呼伦贝尔市莫力达瓦旗1例。

　　截至2月10日10时，内蒙古自治区累计报告新冠肺炎确诊病例58例，其中：

　　1.鄂尔多斯市11例（达拉特旗9例、东胜区1例已痊愈出院、鄂托克前旗1例已痊愈出院）
2.包头市11例（土默特右旗7例、昆都仑区3例、东河区1例）
3.呼和浩特市7例(玉泉区3例、新城区2例、赛罕区1例、回民区1例)

　　4.巴彦淖尔市6例（五原县2例、临河区2例、乌拉特中旗2例）

　　5.通辽市6例（霍林郭勒市5例、经济开发区1例）

　　6.呼伦贝尔市5例（莫力达瓦旗3例、满洲里市1例已痊愈出院、牙克石市1例）

　　7.赤峰市4例（元宝山区2例、松山区1例已痊愈出院、林西县1例）

　　8.乌兰察布市3例（化德县2例、四子王旗1例）

　　9.乌海市海勃湾区2例

　　10.锡林郭勒盟2例（锡林浩特市1例、二连浩特市1例已痊愈出院）?

　　11.兴安盟乌兰浩特市1例

　　疑似病例13例（巴彦淖尔市乌拉特中旗2例、临河区1例；包头市土默特右旗2例；赤峰市元宝山区2例；呼伦贝尔市海拉尔区2例、牙克石市1例、莫力达瓦旗1例；乌海市乌达区1例、锡林郭勒盟多伦县1例）。均在定点医院接受隔离治疗。通辽市科尔沁区1例疑似病例排除。目前，尚在接受医学观察的密切接触者1297人。当日解除医学观察286人。",http://wjw.nmg.gov.cn/doc/2020/02/10/291316.shtml,,,,2020/2/10 11:15,手动,吕慧,已核查,,,,,,,,,,,
7,地区级,2020/2/9 9:00,2020/2/10 10:00,中国,内蒙古自治区,赤峰市,,,,,,4,2,1,,,,内蒙古自治区卫生健康委员会,2020/2/10 10:04,"2020年2月9日9时至10日10时，内蒙古自治区报告新冠肺炎新增确诊病例4例。新增疑似病例4例。

　　其中：新增确诊病例为通辽市的霍林郭勒市3例、包头市东河区1例。

　　新增通辽市的霍林郭勒市3例确诊病例，均为通辽市的霍林郭勒市2月7日确诊病例的密切接触者，他们系一家人，春节期间曾多次家庭聚餐，在隔离医学观察期间发病。2月8日经通辽市疾控中心实验室检测和专家会诊，这3人确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增确诊病例包头市东河区1例，女，18岁，系土右旗确诊病例的密切接触者。2月9日，经实验室检测和专家组会诊，确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增疑似病例4例为包头市土右旗1例、巴彦淖尔市乌拉特中旗1例、锡林郭勒盟多伦县1例、呼伦贝尔市莫力达瓦旗1例。

　　截至2月10日10时，内蒙古自治区累计报告新冠肺炎确诊病例58例，其中：

　　1.鄂尔多斯市11例（达拉特旗9例、东胜区1例已痊愈出院、鄂托克前旗1例已痊愈出院）
2.包头市11例（土默特右旗7例、昆都仑区3例、东河区1例）
3.呼和浩特市7例(玉泉区3例、新城区2例、赛罕区1例、回民区1例)

　　4.巴彦淖尔市6例（五原县2例、临河区2例、乌拉特中旗2例）

　　5.通辽市6例（霍林郭勒市5例、经济开发区1例）

　　6.呼伦贝尔市5例（莫力达瓦旗3例、满洲里市1例已痊愈出院、牙克石市1例）

　　7.赤峰市4例（元宝山区2例、松山区1例已痊愈出院、林西县1例）

　　8.乌兰察布市3例（化德县2例、四子王旗1例）

　　9.乌海市海勃湾区2例

　　10.锡林郭勒盟2例（锡林浩特市1例、二连浩特市1例已痊愈出院）?

　　11.兴安盟乌兰浩特市1例

　　疑似病例13例（巴彦淖尔市乌拉特中旗2例、临河区1例；包头市土默特右旗2例；赤峰市元宝山区2例；呼伦贝尔市海拉尔区2例、牙克石市1例、莫力达瓦旗1例；乌海市乌达区1例、锡林郭勒盟多伦县1例）。均在定点医院接受隔离治疗。通辽市科尔沁区1例疑似病例排除。目前，尚在接受医学观察的密切接触者1297人。当日解除医学观察286人。",http://wjw.nmg.gov.cn/doc/2020/02/10/291316.shtml,,,,2020/2/10 11:15,手动,吕慧,已核查,,,,,,,,,,,
8,地区级,2020/2/9 9:00,2020/2/10 10:00,中国,内蒙古自治区,鄂尔多斯市,,,,,,11,,2,,,,内蒙古自治区卫生健康委员会,2020/2/10 10:04,"2020年2月9日9时至10日10时，内蒙古自治区报告新冠肺炎新增确诊病例4例。新增疑似病例4例。

　　其中：新增确诊病例为通辽市的霍林郭勒市3例、包头市东河区1例。

　　新增通辽市的霍林郭勒市3例确诊病例，均为通辽市的霍林郭勒市2月7日确诊病例的密切接触者，他们系一家人，春节期间曾多次家庭聚餐，在隔离医学观察期间发病。2月8日经通辽市疾控中心实验室检测和专家会诊，这3人确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增确诊病例包头市东河区1例，女，18岁，系土右旗确诊病例的密切接触者。2月9日，经实验室检测和专家组会诊，确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增疑似病例4例为包头市土右旗1例、巴彦淖尔市乌拉特中旗1例、锡林郭勒盟多伦县1例、呼伦贝尔市莫力达瓦旗1例。

　　截至2月10日10时，内蒙古自治区累计报告新冠肺炎确诊病例58例，其中：

　　1.鄂尔多斯市11例（达拉特旗9例、东胜区1例已痊愈出院、鄂托克前旗1例已痊愈出院）
2.包头市11例（土默特右旗7例、昆都仑区3例、东河区1例）
3.呼和浩特市7例(玉泉区3例、新城区2例、赛罕区1例、回民区1例)

　　4.巴彦淖尔市6例（五原县2例、临河区2例、乌拉特中旗2例）

　　5.通辽市6例（霍林郭勒市5例、经济开发区1例）

　　6.呼伦贝尔市5例（莫力达瓦旗3例、满洲里市1例已痊愈出院、牙克石市1例）

　　7.赤峰市4例（元宝山区2例、松山区1例已痊愈出院、林西县1例）

　　8.乌兰察布市3例（化德县2例、四子王旗1例）

　　9.乌海市海勃湾区2例

　　10.锡林郭勒盟2例（锡林浩特市1例、二连浩特市1例已痊愈出院）?

　　11.兴安盟乌兰浩特市1例

　　疑似病例13例（巴彦淖尔市乌拉特中旗2例、临河区1例；包头市土默特右旗2例；赤峰市元宝山区2例；呼伦贝尔市海拉尔区2例、牙克石市1例、莫力达瓦旗1例；乌海市乌达区1例、锡林郭勒盟多伦县1例）。均在定点医院接受隔离治疗。通辽市科尔沁区1例疑似病例排除。目前，尚在接受医学观察的密切接触者1297人。当日解除医学观察286人。",http://wjw.nmg.gov.cn/doc/2020/02/10/291316.shtml,,,,2020/2/10 11:15,手动,吕慧,已核查,,,,,,,,,,,
9,地区级,2020/2/9 9:00,2020/2/10 10:00,中国,内蒙古自治区,呼和浩特市,,,,,,7,,,,,,内蒙古自治区卫生健康委员会,2020/2/10 10:04,"2020年2月9日9时至10日10时，内蒙古自治区报告新冠肺炎新增确诊病例4例。新增疑似病例4例。

　　其中：新增确诊病例为通辽市的霍林郭勒市3例、包头市东河区1例。

　　新增通辽市的霍林郭勒市3例确诊病例，均为通辽市的霍林郭勒市2月7日确诊病例的密切接触者，他们系一家人，春节期间曾多次家庭聚餐，在隔离医学观察期间发病。2月8日经通辽市疾控中心实验室检测和专家会诊，这3人确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增确诊病例包头市东河区1例，女，18岁，系土右旗确诊病例的密切接触者。2月9日，经实验室检测和专家组会诊，确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增疑似病例4例为包头市土右旗1例、巴彦淖尔市乌拉特中旗1例、锡林郭勒盟多伦县1例、呼伦贝尔市莫力达瓦旗1例。

　　截至2月10日10时，内蒙古自治区累计报告新冠肺炎确诊病例58例，其中：

　　1.鄂尔多斯市11例（达拉特旗9例、东胜区1例已痊愈出院、鄂托克前旗1例已痊愈出院）
2.包头市11例（土默特右旗7例、昆都仑区3例、东河区1例）
3.呼和浩特市7例(玉泉区3例、新城区2例、赛罕区1例、回民区1例)

　　4.巴彦淖尔市6例（五原县2例、临河区2例、乌拉特中旗2例）

　　5.通辽市6例（霍林郭勒市5例、经济开发区1例）

　　6.呼伦贝尔市5例（莫力达瓦旗3例、满洲里市1例已痊愈出院、牙克石市1例）

　　7.赤峰市4例（元宝山区2例、松山区1例已痊愈出院、林西县1例）

　　8.乌兰察布市3例（化德县2例、四子王旗1例）

　　9.乌海市海勃湾区2例

　　10.锡林郭勒盟2例（锡林浩特市1例、二连浩特市1例已痊愈出院）?

　　11.兴安盟乌兰浩特市1例

　　疑似病例13例（巴彦淖尔市乌拉特中旗2例、临河区1例；包头市土默特右旗2例；赤峰市元宝山区2例；呼伦贝尔市海拉尔区2例、牙克石市1例、莫力达瓦旗1例；乌海市乌达区1例、锡林郭勒盟多伦县1例）。均在定点医院接受隔离治疗。通辽市科尔沁区1例疑似病例排除。目前，尚在接受医学观察的密切接触者1297人。当日解除医学观察286人。",http://wjw.nmg.gov.cn/doc/2020/02/10/291316.shtml,,,,2020/2/10 11:15,手动,吕慧,已核查,,,,,,,,,,,
10,地区级,2020/2/9 9:00,2020/2/10 10:00,中国,内蒙古自治区,呼伦贝尔市,,,1,,,5,4,1,,,,内蒙古自治区卫生健康委员会,2020/2/10 10:04,"2020年2月9日9时至10日10时，内蒙古自治区报告新冠肺炎新增确诊病例4例。新增疑似病例4例。

　　其中：新增确诊病例为通辽市的霍林郭勒市3例、包头市东河区1例。

　　新增通辽市的霍林郭勒市3例确诊病例，均为通辽市的霍林郭勒市2月7日确诊病例的密切接触者，他们系一家人，春节期间曾多次家庭聚餐，在隔离医学观察期间发病。2月8日经通辽市疾控中心实验室检测和专家会诊，这3人确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增确诊病例包头市东河区1例，女，18岁，系土右旗确诊病例的密切接触者。2月9日，经实验室检测和专家组会诊，确诊为新冠肺炎确诊病例。流行病学调查仍在进行中。

　　新增疑似病例4例为包头市土右旗1例、巴彦淖尔市乌拉特中旗1例、锡林郭勒盟多伦县1例、呼伦贝尔市莫力达瓦旗1例。

　　截至2月10日10时，内蒙古自治区累计报告新冠肺炎确诊病例58例，其中：

　　1.鄂尔多斯市11例（达拉特旗9例、东胜区1例已痊愈出院、鄂托克前旗1例已痊愈出院）
2.包头市11例（土默特右旗7例、昆都仑区3例、东河区1例）
3.呼和浩特市7例(玉泉区3例、新城区2例、赛罕区1例、回民区1例)

　　4.巴彦淖尔市6例（五原县2例、临河区2例、乌拉特中旗2例）

　　5.通辽市6例（霍林郭勒市5例、经济开发区1例）

　　6.呼伦贝尔市5例（莫力达瓦旗3例、满洲里市1例已痊愈出院、牙克石市1例）

　　7.赤峰市4例（元宝山区2例、松山区1例已痊愈出院、林西县1例）

　　8.乌兰察布市3例（化德县2例、四子王旗1例）

　　9.乌海市海勃湾区2例

　　10.锡林郭勒盟2例（锡林浩特市1例、二连浩特市1例已痊愈出院）?

　　11.兴安盟乌兰浩特市1例

　　疑似病例13例（巴彦淖尔市乌拉特中旗2例、临河区1例；包头市土默特右旗2例；赤峰市元宝山区2例；呼伦贝尔市海拉尔区2例、牙克石市1例、莫力达瓦旗1例；乌海市乌达区1例、锡林郭勒盟多伦县1例）。均在定点医院接受隔离治疗。通辽市科尔沁区1例疑似病例排除。目前，尚在接受医学观察的密切接触者1297人。当日解除医学观察286人。",http://wjw.nmg.gov.cn/doc/2020/02/10/291316.shtml,,,,2020/2/10 11:15,手动,吕慧,已核查,,,,,,,,,,,
