日期,城市,确诊,重症,治愈,死亡,疑似,男性,女性,性别不明,0-5,6-17,18-59,60,不明
2020/2/10,北京,342,18,48,3,236,165,177,0,12,11,230,89,0
2020/2/11,北京,352,19,56,3,218,170,182,0,13,12,235,92,0
2020/2/12,北京,366,22,68,3,194,179,187,0,14,12,243,97,0
2020/2/13,北京,372,22,79,3,167,180,192,0,14,12,248,98,0
2020/2/14,北京,375,23,97,4,155,181,194,0,14,12,249,100,0
2020/2/15,北京,380,24,105,4,122,183,197,0,14,12,252,102,0
2020/2/16,北京,381,23,114,4,116,183,198,0,14,12,252,103,0
2020/2/17,北京,387,20,122,4,128,185,202,0,14,13,255,105,0
2020/2/18,北京,393,20,145,4,145,186,207,0,14,13,258,108,0
2020/2/19,北京,395,19,153,4,125,187,208,0,14,13,260,108,0
2020/2/20,北京,396,19,169,4,114,187,209,0,14,13,260,109,0
2020/2/21,北京,399,19,178,4,104,189,210,0,14,13,262,110,0
2020/2/22,北京,399,17,189,4,100,189,210,0,14,13,262,110,0
