日期,城市,确诊,重症,治愈,死亡,疑似,男性,女性,性别不明,0-5,6月17日,18-59,60,不明
2020/2/21,江苏,631,10,387,0,1126,0,0,631,,,,,
2020/2/22,江苏,631,7,411,0,874,0,0,631,,,,,
2020/2/23,江苏,631,8,427,0,699,0,0,631,,,,,
2020/2/24,江苏,631,7,458,0,611,0,0,631,,,,,
2020/2/25,江苏,631,5,463,0,489,0,0,631,,,,,
2020/2/26,江苏,631,5,494,0,379,0,0,631,,,,,
2020/2/27,江苏,631,3,506,0,304,0,0,631,,,,,
2020/2/28,江苏,631,3,519,0,190,0,0,631,,,,,
2020/2/29,江苏,631,3,529,0,130,0,0,631,,,,,
2020/3/1,江苏,631,3,536,0,113,0,0,631,,,,,
2020/3/2,江苏,631,3,555,0,78,0,0,631,,,,,
2020/3/3,江苏,631,3,565,0,65,0,0,631,,,,,
2020/3/4,江苏,631,3,580,0,51,0,0,631,,,,,
2020/3/5,江苏,631,3,588,0,45,0,0,631,,,,,
2020/3/6,江苏,631,2,601,0,43,0,0,631,,,,,
2020/3/7,江苏,631,2,610,0,27,0,0,631,,,,,
2020/3/8,江苏,631,1,618,0,25,0,0,631,,,,,
2020/3/9,江苏,631,1,622,0,25,0,0,631,,,,,
2020/3/10,江苏,631,1,627,0,19,0,0,631,,,,,
2020/3/11,江苏,631,1,628,0,23,0,0,631,,,,,
2020/3/12,江苏,631,1,630,0,22,0,0,631,,,,,
2020/3/13,江苏,631,0,630,0,22,0,0,631,,,,,
2020/3/14,江苏,631,0,631,0,18,0,0,631,,,,,
2020/3/21,江苏,633,0,631,0,28,0,0,633,,,,,
2020/3/22,江苏,633,0,631,0,39,0,0,633,,,,,
2020/3/23,江苏,636,0,631,0,83,0,0,636,,,,,
2020/3/24,江苏,638,0,631,0,97,0,0,638,,,,,
2020/3/25,江苏,640,0,631,0,107,0,0,640,,,,,
2020/3/26,江苏,641,0,631,0,111,0,0,641,,,,,
2020/3/27,江苏,641,0,631,0,119,0,0,641,,,,,
2020/3/28,江苏,644,0,631,0,120,0,0,644,,,,,
2020/3/29,江苏,645,0,631,0,120,0,0,645,,,,,
2020/3/30,江苏,646,0,631,0,176,0,0,646,,,,,
2020/3/31,江苏,646,0,631,0,184,0,0,646,,,,,
2020/4/1,江苏,647,0,631,0,196,0,0,647,,,,,
2020/4/2,江苏,651,0,632,0,647,0,0,651,,,,,
2020/4/3,江苏,651,0,632,0,647,0,0,651,,,,,
2020/4/4,江苏,651,0,633,0,528,0,0,651,,,,,
2020/4/5,江苏,651,0,633,0,432,0,0,651,,,,,
2020/4/6,江苏,651,0,633,0,363,0,0,651,,,,,
2020/4/7,江苏,651,0,633,0,295,0,0,651,,,,,
2020/4/8,江苏,651,0,633,0,262,0,0,651,,,,,
2020/4/9,江苏,651,0,634,0,243,0,0,651,,,,,
2020/4/10,江苏,652,0,636,0,244,0,0,651,,,,,
2020/4/11,江苏,653,0,638,0,298,0,0,651,,,,,
2020/4/12,江苏,653,0,638,0,375,0,0,653,,,,,
2020/4/13,江苏,653,0,641,0,261,0,0,653,,,,,
2020/4/14,江苏,653,0,642,0,224,0,0,653,,,,,
2020/4/15,江苏,653,0,642,0,206,0,0,653,,,,,
2020/4/16,江苏,653,0,643,0,206,0,0,653,,,,,
2020/4/17,江苏,653,0,643,0,203,0,0,653,,,,,
2020/4/18,江苏,653,0,643,0,209,0,0,653,,,,,
2020/4/19,江苏,653,0,643,0,209,0,0,653,,,,,
2020/4/20,江苏,653,0,644,0,208,0,0,653,,,,,
2020/4/21,江苏,653,0,645,0,197,0,0,653,,,,,
2020/4/22,江苏,653,0,645,0,193,0,0,653,,,,,
2020/4/23,江苏,653,0,646,0,153,0,0,653,,,,,
2020/4/24,江苏,653,0,646,0,151,0,0,653,,,,,
2020/4/25,江苏,653,0,646,0,101,0,0,653,,,,,
2020/4/26,江苏,653,0,646,0,19,0,0,653,,,,,
2020/4/27,江苏,653,0,646,0,14,0,0,653,,,,,
2020/4/28,江苏,653,0,647,0,13,0,0,653,,,,,
2020/4/29,江苏,653,0,648,0,13,0,0,653,,,,,
2020/4/30,江苏,653,0,650,0,12,0,0,653,,,,,
2020/5/01,江苏,653,0,650,0,5,0,0,653,,,,,
2020/5/02,江苏,653,0,650,0,5,0,0,653,,,,,
2020/5/03,江苏,653,0,650,0,5,0,0,653,,,,,
2020/5/04,江苏,653,0,650,0,5,0,0,653,,,,,
2020/5/05,江苏,653,0,650,0,5,0,0,653,,,,,
2020/5/06,江苏,653,0,651,0,5,0,0,653,,,,,
2020/5/07,江苏,653,0,652,0,5,0,0,653,,,,,
2020/5/08,江苏,653,0,652,0,5,0,0,653,,,,,
2020/5/09,江苏,653,0,652,0,5,0,0,653,,,,,
2020/5/10,江苏,653,0,653,0,0,0,0,653,,,,,
2020/5/11,江苏,653,0,653,0,0,0,0,653,,,,,
2020/5/12,江苏,653,0,653,0,0,0,0,653,,,,,
2020/5/13,江苏,653,0,653,0,0,0,0,653,,,,,
