日期,城市,确诊,重症,治愈,死亡,疑似,男性,女性,性别不明,0-5,6月17日,18-59,60,不明
2020/2/21,上海,334,13,211,3,100,173,161,0,,,,,
2020/2/22,上海,335,13,227,3,99,173,162,0,,,,,
2020/2/23,上海,335,13,249,3,90,173,162,0,,,,,
2020/2/24,上海,335,12,261,3,64,173,162,0,,,,,
2020/2/25,上海,336,12,268,3,78,174,162,0,,,,,
2020/2/26,上海,337,12,272,3,74,175,162,0,,,,,
2020/2/27,上海,337,12,276,3,64,175,162,0,,,,,
2020/2/28,上海,337,10,279,3,57,175,162,0,,,,,
2020/2/29,上海,337,9,287,3,32,175,162,0,,,,,
2020/3/1,上海,337,9,290,3,17,175,162,0,,,,,
2020/3/2,上海,338,9,292,3,19,176,162,0,,,,,
2020/3/3,上海,338,9,294,3,26,176,162,0,,,,,
2020/3/4,上海,338,9,298,3,32,176,162,0,,,,,
2020/3/5,上海,339,9,303,3,40,177,162,0,,,,,
2020/3/6,上海,342,9,306,3,37,180,162,0,,,,,
2020/3/7,上海,342,9,313,3,40,180,162,0,,,,,
2020/3/8,上海,342,9,314,3,30,180,162,0,,,,,
2020/3/9,上海,342,8,315,3,30,180,162,0,,,,,
2020/3/10,上海,344,8,319,3,23,180,164,0,,,,,
2020/3/11,上海,344,8,320,3,34,180,164,0,,,,,
2020/3/12,上海,346,8,321,3,36,182,164,0,,,,,
2020/3/13,上海,350,9,324,3,26,184,166,0,,,,,
2020/3/14,上海,353,9,324,3,30,185,168,0,,,,,
2020/3/15,上海,355,9,324,3,46,186,169,0,,,,,
2020/3/16,上海,358,9,325,3,58,0,0,358,,,,,
2020/3/17,上海,361,10,325,3,40,0,0,361,,,,,
2020/3/18,上海,363,10,326,3,18,0,0,363,,,,,
2020/3/19,上海,371,9,326,3,23,0,0,371,,,,,
2020/3/20,上海,380,9,326,3,39,0,0,380,,,,,
2020/3/21,上海,394,8,327,4,26,0,0,394,,,,,
2020/3/22,上海,404,10,328,4,19,0,0,404,,,,,
2020/3/23,上海,414,9,329,4,20,0,0,414,,,,,
2020/3/24,上海,433,8,330,5,14,0,0,433,,,,,
2020/3/25,上海,451,8,330,5,20,0,0,451,,,,,
2020/3/26,上海,468,7,331,5,23,0,0,468,,,,,
2020/3/27,上海,485,9,334,5,16,0,0,485,,,,,
2020/3/28,上海,492,9,334,5,13,0,0,492,,,,,
2020/3/29,上海,498,9,334,5,19,0,0,498,,,,,
2020/3/30,上海,509,9,338,5,21,0,0,509,,,,,
2020/3/31,上海,516,8,341,6,20,0,0,516,,,,,
2020/4/1,上海,522,6,343,6,16,0,0,522,,,,,
2020/4/2,上海,526,6,343,6,13,0,0,526,,,,,
2020/4/3,上海,529,6,348,6,17,0,0,529,,,,,
2020/4/4,上海,531,6,356,6,24,0,0,531,,,,,
2020/4/5,上海,536,6,383,6,14,0,0,536,,,,,
2020/4/6,上海,538,6,389,6,14,0,0,538,,,,,
2020/4/7,上海,543,5,406,7,16,0,0,543,,,,,
2020/4/8,上海,552,5,417,7,11,0,0,552,,,,,
2020/4/9,上海,555,5,422,7,5,0,0,555,,,,,
2020/4/10,上海,555,5,435,7,81,0,0,555,,,,,
2020/4/11,上海,607,5,438,7,45,0,0,607,,,,,
2020/4/12,上海,618,3,446,7,36,0,0,618,,,,,
2020/4/13,上海,618,3,458,7,37,0,0,618,,,,,
2020/4/14,上海,622,3,468,7,35,0,0,622,,,,,
2020/4/15,上海,628,3,485,7,36,0,0,628,,,,,
2020/4/16,上海,628,3,489,7,35,0,0,628,,,,,
2020/4/17,上海,628,2,512,7,33,0,0,628,,,,,
2020/4/18,上海,635,2,516,7,19,0,0,635,,,,,
2020/4/19,上海,638,2,521,7,19,0,0,638,,,,,
