日期,城市,确诊,重症,治愈,死亡,疑似,男性,女性,性别不明,0-5,6月17日,18-59,60,不明
2020/2/21,四川,526,18,242,3,81,,,526,,,,,526
2020/2/22,四川,526,18,256,3,79,,,526,,,,,526
2020/2/23,四川,527,18,263,3,64,,,527,,,,,527
2020/2/24,四川,529,18,278,3,56,,,529,,,,,529
2020/2/25,四川,531,18,292,3,47,,,531,,,,,531
2020/2/26,四川,534,17,310,3,38,,,534,,,,,534
2020/2/27,四川,538,16,326,3,33,,,538,,,,,538
2020/2/28,四川,538,15,350,3,17,,,538,,,,,538
2020/2/29,四川,538,5,363,3,15,,,538,,,,,538
2020/3/1,四川,538,4,378,3,6,,,538,,,,,538
2020/3/2,四川,538,2,389,3,1,,,538,,,,,538
2020/3/3,四川,538,2,400,3,2,,,538,,,,,538
2020/3/4,四川,539,2,418,3,1,,,539,,,,,539
2020/3/5,四川,539,1,428,3,2,,,539,,,,,539
2020/3/6,四川,539,,448,3,2,,,539,,,,,539
2020/3/7,四川,539,,457,3,3,,,539,,,,,539
2020/3/8,四川,539,,465,3,2,,,539,,,,,539
2020/3/9,四川,539,,470,3,2,,,539,,,,,539
2020/3/10,四川,539,,484,3,2,,,539,,,,,539
2020/3/11,四川,539,,494,3,1,,,539,,,,,539
2020/3/12,四川,539,,500,3,,,,539,,,,,539
2020/3/13,四川,539,,510,3,,,,539,,,,,539
2020/3/14,四川,539,1,515,3,,,,539,,,,,539
2020/3/15,四川,539,1,516,3,,,,539,,,,,539
2020/3/16,四川,539,1,520,3,,,,539,,,,,539
2020/3/17,四川,540,,525,3,,,,540,,,,,540
2020/3/18,四川,540,,531,3,,,,540,,,,,540
2020/3/19,四川,541,,536,3,,,,541,,,,,541
2020/3/20,四川,542,,536,3,,,,542,,,,,542
2020/3/21,四川,543,,536,3,,,,543,,,,,543
2020/3/22,四川,543,,536,3,,,,543,,,,,543
2020/3/23,四川,545,,536,3,,,,545,,,,,545
2020/3/24,四川,547,,536,3,,,,547,,,,,547
2020/3/25,四川,547,,536,3,,,,547,,,,,547
2020/3/26,四川,548,,536,3,,,,548,,,,,548
2020/3/27,四川,548,,536,3,,,,548,,,,,548
2020/3/28,四川,550,,536,3,,,,550,,,,,550
2020/3/29,四川,550,,536,3,,,,550,,,,,550
2020/3/30,四川,550,,536,3,,,,550,,,,,550
2020/3/31,四川,552,,536,3,,,,552,,,,,552
2020/4/1,四川,554,,537,3,,,,554,,,,,555
2020/4/2,四川,555,,537,3,,,,555,,,,,555
2020/4/3,四川,557,,538,3,,,,557,,,,,557
2020/4/4,四川,558,,539,3,,,,558,,,,,558
2020/4/5,四川,559,,540,3,,,,559,,,,,559
2020/4/6,四川,560,,541,3,,,,560,,,,,560
2020/4/7,四川,560,,541,3,,,,560,,,,,560
2020/4/8,四川,560,,541,3,,,,560,,,,,560
2020/4/9,四川,560,,546,3,,,,560,,,,,560
2020/4/10,四川,560,,547,3,,,,560,,,,,560
2020/4/11,四川,560,,547,3,,,,560,,,,,560
2020/4/12,四川,560,,548,3,,,,560,,,,,560
