公开时间,国家,城市,新增确诊病例,新增治愈出院数,新增死亡数
1月15日,日本,,1,1,0
1月17日,泰国,,2,0,0
1月20日,韩国,,1,0,0
1月21日,美国,,1,0,0
1月21日,泰国,,1,0,0
1月21日,中国,香港,0,0,0
1月21日,中国,台湾,1,0,0
1月22日,泰国,,1,0,0
1月22日,泰国,,0,1,0
1月22日,泰国,,0,1,0
1月22日,中国,澳门,1,0,0
1月23日,新加坡,,1,0,0
1月23日,越南,,2,0,0
1月23日,中国,香港,2,0,0
1月23日,中国,澳门,1,0,0
1月24日,法国,,1,0,0
1月24日,法国,,2,0,0
1月24日,韩国,,1,0,0
1月24日,美国,,1,0,0
1月24日,尼泊尔,,0,1,0
1月24日,尼泊尔,,1,0,0
1月24日,日本,,1,0,0
1月24日,泰国,,1,0,0
1月24日,泰国,,1,0,0
1月24日,新加坡,,2,0,0
1月24日,中国,香港,3,0,0
1月24日,中国,台湾,2,0,0
1月25日,澳大利亚,,3,0,0
1月25日,澳大利亚,,1,0,0
1月25日,加拿大,,1,0,0
1月25日,马来西亚,,1,0,0
1月25日,马来西亚,,3,0,0
1月25日,美国,,1,0,0
1月25日,日本,,1,0,0
1月26日,韩国,,1,0,0
1月26日,美国,,2,0,0
1月26日,日本,,1,0,0
1月26日,泰国,,1,0,0
1月26日,泰国,,1,0,0
1月26日,新加坡,,1,0,0
1月26日,中国,香港,1,0,0
1月26日,中国,台湾,1,0,0
1月26日,中国,澳门,3,0,0
1月27日,澳大利亚,,1,0,0
1月27日,德国,,1,0,0
1月27日,韩国,,1,0,0
1月27日,加拿大,,1,0,0
1月27日,柬埔寨,,1,0,0
1月27日,斯里兰卡,,1,0,0
1月27日,泰国,,0,3,0
1月27日,新加坡,,1,0,0
1月27日,中国,香港,2,0,0
1月27日,中国,台湾,1,0,0
1月27日,中国,澳门,1,0,0
1月28日,德国,,3,0,0
1月28日,法国,,1,0,0
1月28日,日本,,3,0,0
1月28日,泰国,,6,0,0
1月28日,新加坡,,2,0,0
1月28日,中国,台湾,1,0,0
1月28日,中国,台湾,2,0,0
1月28日,中国,澳门,1,0,0
1月29日,阿联酋,,3,0,0
1月29日,阿联酋,,1,0,0
1月29日,澳大利亚,,0,2,0
1月29日,澳大利亚,,1,0,0
1月29日,法国,,1,0,0
1月29日,加拿大,,1,0,0
1月29日,马来西亚,,3,0,0
1月29日,日本,,1,0,0
1月29日,新加坡,,3,0,0
1月29日,中国,香港,2,0,0
1月30日,澳大利亚,,1,0,0
1月30日,澳大利亚,,1,0,0
1月30日,德国,,1,0,0
1月30日,法国,,1,0,0
1月30日,菲律宾,,1,0,0
1月30日,芬兰,,1,0,0
1月30日,韩国,,2,0,0
1月30日,马来西亚,,1,0,0
1月30日,美国,,1,0,0
1月30日,日本,,6,0,0
1月30日,新加坡,,3,0,0
1月30日,意大利,,2,0,0
1月30日,印度,,1,0,0
1月30日,越南,,3,0,0
1月30日,中国,台湾,1,0,0
1月31日,德国,,1,0,0
1月31日,德国,,1,0,0
1月31日,俄罗斯,,2,0,0
1月31日,韩国,,4,0,0
1月31日,韩国,,1,0,0
1月31日,加拿大,,1,0,0
1月31日,加拿大,,0,1,0
1月31日,日本,,3,0,0
1月31日,瑞典,,1,0,0
1月31日,泰国,,5,0,0
1月31日,西班牙,,1,0,0
1月31日,新加坡,,3,0,0
1月31日,英国,,2,0,0
1月31日,中国,香港,2,0,0
1月31日,中国,台湾,1,0,0
2月1日,澳大利亚,,2,0,0
2月1日,澳大利亚,,1,0,0
2月1日,德国,,2,0,0
2月1日,德国,,1,0,0
2月1日,菲律宾,,0,0,1
2月1日,韩国,,1,0,0
2月1日,美国,,2,0,0
2月1日,日本,,3,0,0
2月1日,斯里兰卡,,0,1,0
2月1日,新加坡,,2,0,0
2月1日,印度,,1,0,0
2月1日,越南,,1,0,0
2月1日,中国,香港,1,0,0
2月2日,阿联酋,,1,0,0
2月2日,菲律宾,,1,0,0
2月2日,韩国,,3,0,0
2月2日,美国,,1,0,0
2月2日,越南,,1,0,0
2月2日,中国,香港,1,0,0
2月2日,中国,澳门,1,0,0
2月3日,德国,,1,0,0
2月3日,德国,,1,0,0
2月3日,美国,,2,1,0
2月3日,印度,,1,0,0
2月3日,越南,,1,0,0
2月3日,中国,香港,1,0,0
2月4日,澳大利亚,,1,0,0
2月4日,比利时,,1,0,0
2月4日,韩国,,1,0,0
2月4日,加拿大,,1,0,0
2月4日,马来西亚,,2,1,0
2月4日,马来西亚,,2,0,0
2月4日,日本,,2,0,0
2月4日,日本,,0,1,0
2月4日,泰国,,6,3,0
2月4日,新加坡,,6,0,0
2月4日,越南,,1,0,0
2月4日,越南,,1,0,0
2月4日,中国,香港,2,0,0
2月4日,中国,香港,0,0,1
2月4日,中国,台湾,1,0,0
2月4日,中国,澳门,1,0,0
2月4日,中国,澳门,1,0,0
2月5日,澳大利亚,,1,0,0
2月5日,菲律宾,,1,0,0
2月5日,韩国,,0,1,0
2月5日,韩国,,1,0,0
2月5日,韩国,,2,0,0
2月5日,美国,,1,0,0
2月5日,日本,,2,0,0
2月5日,日本,钻石公主邮轮,10,0,0
2月5日,新加坡,,4,0,0
2月5日,中国,香港,3,0,0
2月5日,中国,香港,1,0,0
2月6日,澳大利亚,,1,0,0
2月6日,德国,,1,0,0
2月6日,芬兰,,0,1,0
2月6日,韩国,,4,1,0
2月6日,马来西亚,,2,0,0
2月6日,美国,,0,2,0
2月6日,日本,,0,2,0
2月6日,日本,钻石公主邮轮,10,0,0
2月6日,新加坡,,2,0,0
