从1开始累计,值为“国家级”、“省级”、“城市级”、“区县级”,格式为“YYYY/MM/DD HH:MM”,格式为“YYYY/MM/DD HH:MM”,,参照规范文件填写，包含直辖市,参照规范文件填写,参照规范文件填写,不能填0,不能填0,不能填0,不能填0,不能填0,不能填0,不能填0,不能填0,需要是负数,需要是负数,,格式为“YYYY/MM/DD HH:MM”,所有内容，包括标题,,格式为“YYYY/MM/DD HH:MM”,,,格式为“YYYY/MM/DD HH:MM”,值为“手动”、“自动”,,值为“未核查”、“已核查”,格式为“YYYY/MM/DD HH:MM”,值为“手动”、“自动”,,值为“核查通过”、“核查未通过”,,格式为“YYYY/MM/DD HH:MM”,格式为“YYYY/MM/DD HH:MM”,值为“手动”、“自动”,,值为“核查通过”、“核查未通过”,
序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,省级,2020/2/9 0:00,2020/2/10 0:00,中国,安徽省,,,51,61,14,2,830,,73,3,,,安徽省卫健委,2020/2/10 8:47,"2月10日安徽省报告新型冠状病毒肺炎疫情情况
日期：2020-02-10 08:47信息来源：安徽省卫健委点击：637次字体：【 大 小 】 打印 关闭
        2020年2月9日0-24时，安徽省报告新增确诊病例51例，新增疑似病例61例，新增危重病例1例，新增治愈出院病例14例，新增死亡病例2例。

        新增确诊病例中，合肥11例、亳州5例、宿州3例、蚌埠11例、阜阳7例、淮南1例、滁州1例、六安3例、芜湖1例、宣城1例、铜陵1例、池州3例、安庆3例，除危重病例外，其余均病情平稳。

        新增疑似病例中，合肥4例、淮北3例、宿州2例、蚌埠25例、阜阳5例、淮南1例、六安11例、马鞍山1例、芜湖1例、铜陵4例、池州2例、安庆2例。

        新增治愈出院病例中，淮北3例、宿州2例、阜阳2例、淮南1例、安庆6例。

        新增死亡病例中，蚌埠2例。

        截至2月9日24时，安徽省累计报告确诊病例830例，累计治愈出院病例73例，累计死亡病例3例，累计医学观察密切接触者17384人。

        累计确诊病例中，其中合肥147例、淮北23例、亳州92例、宿州31例、蚌埠126例、阜阳125例、淮南23例、滁州12例、六安57例、马鞍山31例、芜湖30例、宣城6例、铜陵25例、池州15例、安庆78例、黄山9例。

        截至2月9日24时，安徽省在院治疗确诊病例754例，其中危重症病例7例。

        2月10日即将治愈出院16例，其中合肥4例、淮北1例、亳州2例、宿州1例、蚌埠1例、六安1例、滁州1例、池州2例、安庆3例。

       死亡病例病情介绍：

       患者杨某某，男，79岁，蚌埠市人，2月6日确诊，入住蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病、冠状动脉粥样硬化性心脏病、运动神经元病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日早上7：20突发心跳骤停，经抢救无效死亡。

        患者赵某某，男，81岁，蚌埠市人，2月1日确诊，入住蚌埠市传染病医院，2月6日转入蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日上午11：30突发心跳骤停，经抢救无效死亡。",http://wjw.ah.gov.cn/news_details_54769.html,,,,2020/2/10 9:47,手动,张彦玲,未核查,,,,,,,,,,,
2,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,安徽省,合肥市,,11,4,,,147,,,,,,安徽省卫健委,2020/2/10 8:47,"2月10日安徽省报告新型冠状病毒肺炎疫情情况
日期：2020-02-10 08:47信息来源：安徽省卫健委点击：637次字体：【 大 小 】 打印 关闭
        2020年2月9日0-24时，安徽省报告新增确诊病例51例，新增疑似病例61例，新增危重病例1例，新增治愈出院病例14例，新增死亡病例2例。

        新增确诊病例中，合肥11例、亳州5例、宿州3例、蚌埠11例、阜阳7例、淮南1例、滁州1例、六安3例、芜湖1例、宣城1例、铜陵1例、池州3例、安庆3例，除危重病例外，其余均病情平稳。

        新增疑似病例中，合肥4例、淮北3例、宿州2例、蚌埠25例、阜阳5例、淮南1例、六安11例、马鞍山1例、芜湖1例、铜陵4例、池州2例、安庆2例。

        新增治愈出院病例中，淮北3例、宿州2例、阜阳2例、淮南1例、安庆6例。

        新增死亡病例中，蚌埠2例。

        截至2月9日24时，安徽省累计报告确诊病例830例，累计治愈出院病例73例，累计死亡病例3例，累计医学观察密切接触者17384人。

        累计确诊病例中，其中合肥147例、淮北23例、亳州92例、宿州31例、蚌埠126例、阜阳125例、淮南23例、滁州12例、六安57例、马鞍山31例、芜湖30例、宣城6例、铜陵25例、池州15例、安庆78例、黄山9例。

        截至2月9日24时，安徽省在院治疗确诊病例754例，其中危重症病例7例。

        2月10日即将治愈出院16例，其中合肥4例、淮北1例、亳州2例、宿州1例、蚌埠1例、六安1例、滁州1例、池州2例、安庆3例。

       死亡病例病情介绍：

       患者杨某某，男，79岁，蚌埠市人，2月6日确诊，入住蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病、冠状动脉粥样硬化性心脏病、运动神经元病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日早上7：20突发心跳骤停，经抢救无效死亡。

        患者赵某某，男，81岁，蚌埠市人，2月1日确诊，入住蚌埠市传染病医院，2月6日转入蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日上午11：31突发心跳骤停，经抢救无效死亡。",http://wjw.ah.gov.cn/news_details_54770.html,,,,2020/2/10 9:47,手动,张彦玲,未核查,,,,,,,,,,,
3,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,安徽省,淮北市,,,3,3,,23,,,,,,安徽省卫健委,2020/2/10 8:47,"2月10日安徽省报告新型冠状病毒肺炎疫情情况
日期：2020-02-10 08:47信息来源：安徽省卫健委点击：637次字体：【 大 小 】 打印 关闭
        2020年2月9日0-24时，安徽省报告新增确诊病例51例，新增疑似病例61例，新增危重病例1例，新增治愈出院病例14例，新增死亡病例2例。

        新增确诊病例中，合肥11例、亳州5例、宿州3例、蚌埠11例、阜阳7例、淮南1例、滁州1例、六安3例、芜湖1例、宣城1例、铜陵1例、池州3例、安庆3例，除危重病例外，其余均病情平稳。

        新增疑似病例中，合肥4例、淮北3例、宿州2例、蚌埠25例、阜阳5例、淮南1例、六安11例、马鞍山1例、芜湖1例、铜陵4例、池州2例、安庆2例。

        新增治愈出院病例中，淮北3例、宿州2例、阜阳2例、淮南1例、安庆6例。

        新增死亡病例中，蚌埠2例。

        截至2月9日24时，安徽省累计报告确诊病例830例，累计治愈出院病例73例，累计死亡病例3例，累计医学观察密切接触者17384人。

        累计确诊病例中，其中合肥147例、淮北23例、亳州92例、宿州31例、蚌埠126例、阜阳125例、淮南23例、滁州12例、六安57例、马鞍山31例、芜湖30例、宣城6例、铜陵25例、池州15例、安庆78例、黄山9例。

        截至2月9日24时，安徽省在院治疗确诊病例754例，其中危重症病例7例。

        2月10日即将治愈出院16例，其中合肥4例、淮北1例、亳州2例、宿州1例、蚌埠1例、六安1例、滁州1例、池州2例、安庆3例。

       死亡病例病情介绍：

       患者杨某某，男，79岁，蚌埠市人，2月6日确诊，入住蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病、冠状动脉粥样硬化性心脏病、运动神经元病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日早上7：20突发心跳骤停，经抢救无效死亡。

        患者赵某某，男，81岁，蚌埠市人，2月1日确诊，入住蚌埠市传染病医院，2月6日转入蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日上午11：32突发心跳骤停，经抢救无效死亡。",http://wjw.ah.gov.cn/news_details_54771.html,,,,2020/2/10 9:47,手动,张彦玲,未核查,,,,,,,,,,,
4,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,安徽省,亳州市,,5,,,,92,,,,,,安徽省卫健委,2020/2/10 8:47,"2月10日安徽省报告新型冠状病毒肺炎疫情情况
日期：2020-02-10 08:47信息来源：安徽省卫健委点击：637次字体：【 大 小 】 打印 关闭
        2020年2月9日0-24时，安徽省报告新增确诊病例51例，新增疑似病例61例，新增危重病例1例，新增治愈出院病例14例，新增死亡病例2例。

        新增确诊病例中，合肥11例、亳州5例、宿州3例、蚌埠11例、阜阳7例、淮南1例、滁州1例、六安3例、芜湖1例、宣城1例、铜陵1例、池州3例、安庆3例，除危重病例外，其余均病情平稳。

        新增疑似病例中，合肥4例、淮北3例、宿州2例、蚌埠25例、阜阳5例、淮南1例、六安11例、马鞍山1例、芜湖1例、铜陵4例、池州2例、安庆2例。

        新增治愈出院病例中，淮北3例、宿州2例、阜阳2例、淮南1例、安庆6例。

        新增死亡病例中，蚌埠2例。

        截至2月9日24时，安徽省累计报告确诊病例830例，累计治愈出院病例73例，累计死亡病例3例，累计医学观察密切接触者17384人。

        累计确诊病例中，其中合肥147例、淮北23例、亳州92例、宿州31例、蚌埠126例、阜阳125例、淮南23例、滁州12例、六安57例、马鞍山31例、芜湖30例、宣城6例、铜陵25例、池州15例、安庆78例、黄山9例。

        截至2月9日24时，安徽省在院治疗确诊病例754例，其中危重症病例7例。

        2月10日即将治愈出院16例，其中合肥4例、淮北1例、亳州2例、宿州1例、蚌埠1例、六安1例、滁州1例、池州2例、安庆3例。

       死亡病例病情介绍：

       患者杨某某，男，79岁，蚌埠市人，2月6日确诊，入住蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病、冠状动脉粥样硬化性心脏病、运动神经元病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日早上7：20突发心跳骤停，经抢救无效死亡。

        患者赵某某，男，81岁，蚌埠市人，2月1日确诊，入住蚌埠市传染病医院，2月6日转入蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日上午11：33突发心跳骤停，经抢救无效死亡。",http://wjw.ah.gov.cn/news_details_54772.html,,,,2020/2/10 9:47,手动,张彦玲,未核查,,,,,,,,,,,
5,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,安徽省,宿州市,,3,2,2,,31,,,,,,安徽省卫健委,2020/2/10 8:47,"2月10日安徽省报告新型冠状病毒肺炎疫情情况
日期：2020-02-10 08:47信息来源：安徽省卫健委点击：637次字体：【 大 小 】 打印 关闭
        2020年2月9日0-24时，安徽省报告新增确诊病例51例，新增疑似病例61例，新增危重病例1例，新增治愈出院病例14例，新增死亡病例2例。

        新增确诊病例中，合肥11例、亳州5例、宿州3例、蚌埠11例、阜阳7例、淮南1例、滁州1例、六安3例、芜湖1例、宣城1例、铜陵1例、池州3例、安庆3例，除危重病例外，其余均病情平稳。

        新增疑似病例中，合肥4例、淮北3例、宿州2例、蚌埠25例、阜阳5例、淮南1例、六安11例、马鞍山1例、芜湖1例、铜陵4例、池州2例、安庆2例。

        新增治愈出院病例中，淮北3例、宿州2例、阜阳2例、淮南1例、安庆6例。

        新增死亡病例中，蚌埠2例。

        截至2月9日24时，安徽省累计报告确诊病例830例，累计治愈出院病例73例，累计死亡病例3例，累计医学观察密切接触者17384人。

        累计确诊病例中，其中合肥147例、淮北23例、亳州92例、宿州31例、蚌埠126例、阜阳125例、淮南23例、滁州12例、六安57例、马鞍山31例、芜湖30例、宣城6例、铜陵25例、池州15例、安庆78例、黄山9例。

        截至2月9日24时，安徽省在院治疗确诊病例754例，其中危重症病例7例。

        2月10日即将治愈出院16例，其中合肥4例、淮北1例、亳州2例、宿州1例、蚌埠1例、六安1例、滁州1例、池州2例、安庆3例。

       死亡病例病情介绍：

       患者杨某某，男，79岁，蚌埠市人，2月6日确诊，入住蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病、冠状动脉粥样硬化性心脏病、运动神经元病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日早上7：20突发心跳骤停，经抢救无效死亡。

        患者赵某某，男，81岁，蚌埠市人，2月1日确诊，入住蚌埠市传染病医院，2月6日转入蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日上午11：34突发心跳骤停，经抢救无效死亡。",http://wjw.ah.gov.cn/news_details_54773.html,,,,2020/2/10 9:47,手动,张彦玲,未核查,,,,,,,,,,,
6,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,安徽省,蚌埠市,,11,25,,2,126,,,,,,安徽省卫健委,2020/2/10 8:47,"2月10日安徽省报告新型冠状病毒肺炎疫情情况
日期：2020-02-10 08:47信息来源：安徽省卫健委点击：637次字体：【 大 小 】 打印 关闭
        2020年2月9日0-24时，安徽省报告新增确诊病例51例，新增疑似病例61例，新增危重病例1例，新增治愈出院病例14例，新增死亡病例2例。

        新增确诊病例中，合肥11例、亳州5例、宿州3例、蚌埠11例、阜阳7例、淮南1例、滁州1例、六安3例、芜湖1例、宣城1例、铜陵1例、池州3例、安庆3例，除危重病例外，其余均病情平稳。

        新增疑似病例中，合肥4例、淮北3例、宿州2例、蚌埠25例、阜阳5例、淮南1例、六安11例、马鞍山1例、芜湖1例、铜陵4例、池州2例、安庆2例。

        新增治愈出院病例中，淮北3例、宿州2例、阜阳2例、淮南1例、安庆6例。

        新增死亡病例中，蚌埠2例。

        截至2月9日24时，安徽省累计报告确诊病例830例，累计治愈出院病例73例，累计死亡病例3例，累计医学观察密切接触者17384人。

        累计确诊病例中，其中合肥147例、淮北23例、亳州92例、宿州31例、蚌埠126例、阜阳125例、淮南23例、滁州12例、六安57例、马鞍山31例、芜湖30例、宣城6例、铜陵25例、池州15例、安庆78例、黄山9例。

        截至2月9日24时，安徽省在院治疗确诊病例754例，其中危重症病例7例。

        2月10日即将治愈出院16例，其中合肥4例、淮北1例、亳州2例、宿州1例、蚌埠1例、六安1例、滁州1例、池州2例、安庆3例。

       死亡病例病情介绍：

       患者杨某某，男，79岁，蚌埠市人，2月6日确诊，入住蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病、冠状动脉粥样硬化性心脏病、运动神经元病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日早上7：20突发心跳骤停，经抢救无效死亡。

        患者赵某某，男，81岁，蚌埠市人，2月1日确诊，入住蚌埠市传染病医院，2月6日转入蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日上午11：35突发心跳骤停，经抢救无效死亡。",http://wjw.ah.gov.cn/news_details_54774.html,,,,2020/2/10 9:47,手动,张彦玲,未核查,,,,,,,,,,,
7,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,安徽省,阜阳市,,7,5,2,,125,,,,,,安徽省卫健委,2020/2/10 8:47,"2月10日安徽省报告新型冠状病毒肺炎疫情情况
日期：2020-02-10 08:47信息来源：安徽省卫健委点击：637次字体：【 大 小 】 打印 关闭
        2020年2月9日0-24时，安徽省报告新增确诊病例51例，新增疑似病例61例，新增危重病例1例，新增治愈出院病例14例，新增死亡病例2例。

        新增确诊病例中，合肥11例、亳州5例、宿州3例、蚌埠11例、阜阳7例、淮南1例、滁州1例、六安3例、芜湖1例、宣城1例、铜陵1例、池州3例、安庆3例，除危重病例外，其余均病情平稳。

        新增疑似病例中，合肥4例、淮北3例、宿州2例、蚌埠25例、阜阳5例、淮南1例、六安11例、马鞍山1例、芜湖1例、铜陵4例、池州2例、安庆2例。

        新增治愈出院病例中，淮北3例、宿州2例、阜阳2例、淮南1例、安庆6例。

        新增死亡病例中，蚌埠2例。

        截至2月9日24时，安徽省累计报告确诊病例830例，累计治愈出院病例73例，累计死亡病例3例，累计医学观察密切接触者17384人。

        累计确诊病例中，其中合肥147例、淮北23例、亳州92例、宿州31例、蚌埠126例、阜阳125例、淮南23例、滁州12例、六安57例、马鞍山31例、芜湖30例、宣城6例、铜陵25例、池州15例、安庆78例、黄山9例。

        截至2月9日24时，安徽省在院治疗确诊病例754例，其中危重症病例7例。

        2月10日即将治愈出院16例，其中合肥4例、淮北1例、亳州2例、宿州1例、蚌埠1例、六安1例、滁州1例、池州2例、安庆3例。

       死亡病例病情介绍：

       患者杨某某，男，79岁，蚌埠市人，2月6日确诊，入住蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病、冠状动脉粥样硬化性心脏病、运动神经元病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日早上7：20突发心跳骤停，经抢救无效死亡。

        患者赵某某，男，81岁，蚌埠市人，2月1日确诊，入住蚌埠市传染病医院，2月6日转入蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日上午11：36突发心跳骤停，经抢救无效死亡。",http://wjw.ah.gov.cn/news_details_54775.html,,,,2020/2/10 9:47,手动,张彦玲,未核查,,,,,,,,,,,
8,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,安徽省,淮南市,,1,1,1,,23,,,,,,安徽省卫健委,2020/2/10 8:47,"2月10日安徽省报告新型冠状病毒肺炎疫情情况
日期：2020-02-10 08:47信息来源：安徽省卫健委点击：637次字体：【 大 小 】 打印 关闭
        2020年2月9日0-24时，安徽省报告新增确诊病例51例，新增疑似病例61例，新增危重病例1例，新增治愈出院病例14例，新增死亡病例2例。

        新增确诊病例中，合肥11例、亳州5例、宿州3例、蚌埠11例、阜阳7例、淮南1例、滁州1例、六安3例、芜湖1例、宣城1例、铜陵1例、池州3例、安庆3例，除危重病例外，其余均病情平稳。

        新增疑似病例中，合肥4例、淮北3例、宿州2例、蚌埠25例、阜阳5例、淮南1例、六安11例、马鞍山1例、芜湖1例、铜陵4例、池州2例、安庆2例。

        新增治愈出院病例中，淮北3例、宿州2例、阜阳2例、淮南1例、安庆6例。

        新增死亡病例中，蚌埠2例。

        截至2月9日24时，安徽省累计报告确诊病例830例，累计治愈出院病例73例，累计死亡病例3例，累计医学观察密切接触者17384人。

        累计确诊病例中，其中合肥147例、淮北23例、亳州92例、宿州31例、蚌埠126例、阜阳125例、淮南23例、滁州12例、六安57例、马鞍山31例、芜湖30例、宣城6例、铜陵25例、池州15例、安庆78例、黄山9例。

        截至2月9日24时，安徽省在院治疗确诊病例754例，其中危重症病例7例。

        2月10日即将治愈出院16例，其中合肥4例、淮北1例、亳州2例、宿州1例、蚌埠1例、六安1例、滁州1例、池州2例、安庆3例。

       死亡病例病情介绍：

       患者杨某某，男，79岁，蚌埠市人，2月6日确诊，入住蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病、冠状动脉粥样硬化性心脏病、运动神经元病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日早上7：20突发心跳骤停，经抢救无效死亡。

        患者赵某某，男，81岁，蚌埠市人，2月1日确诊，入住蚌埠市传染病医院，2月6日转入蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日上午11：37突发心跳骤停，经抢救无效死亡。",http://wjw.ah.gov.cn/news_details_54776.html,,,,2020/2/10 9:47,手动,张彦玲,未核查,,,,,,,,,,,
9,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,安徽省,滁州市,,1,,,,12,,,,,,安徽省卫健委,2020/2/10 8:47,"2月10日安徽省报告新型冠状病毒肺炎疫情情况
日期：2020-02-10 08:47信息来源：安徽省卫健委点击：637次字体：【 大 小 】 打印 关闭
        2020年2月9日0-24时，安徽省报告新增确诊病例51例，新增疑似病例61例，新增危重病例1例，新增治愈出院病例14例，新增死亡病例2例。

        新增确诊病例中，合肥11例、亳州5例、宿州3例、蚌埠11例、阜阳7例、淮南1例、滁州1例、六安3例、芜湖1例、宣城1例、铜陵1例、池州3例、安庆3例，除危重病例外，其余均病情平稳。

        新增疑似病例中，合肥4例、淮北3例、宿州2例、蚌埠25例、阜阳5例、淮南1例、六安11例、马鞍山1例、芜湖1例、铜陵4例、池州2例、安庆2例。

        新增治愈出院病例中，淮北3例、宿州2例、阜阳2例、淮南1例、安庆6例。

        新增死亡病例中，蚌埠2例。

        截至2月9日24时，安徽省累计报告确诊病例830例，累计治愈出院病例73例，累计死亡病例3例，累计医学观察密切接触者17384人。

        累计确诊病例中，其中合肥147例、淮北23例、亳州92例、宿州31例、蚌埠126例、阜阳125例、淮南23例、滁州12例、六安57例、马鞍山31例、芜湖30例、宣城6例、铜陵25例、池州15例、安庆78例、黄山9例。

        截至2月9日24时，安徽省在院治疗确诊病例754例，其中危重症病例7例。

        2月10日即将治愈出院16例，其中合肥4例、淮北1例、亳州2例、宿州1例、蚌埠1例、六安1例、滁州1例、池州2例、安庆3例。

       死亡病例病情介绍：

       患者杨某某，男，79岁，蚌埠市人，2月6日确诊，入住蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病、冠状动脉粥样硬化性心脏病、运动神经元病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日早上7：20突发心跳骤停，经抢救无效死亡。

        患者赵某某，男，81岁，蚌埠市人，2月1日确诊，入住蚌埠市传染病医院，2月6日转入蚌医一附院（省级新冠肺炎重症集中收治基地医院），临床为危重症。患者既往有2型糖尿病、高血压病。蚌医一附院第一时间组织专家组和重症治疗小组会商病情，全力进行救治，同时国家和省卫生健康委分别委派了专家指导诊疗。2月9日上午11：38突发心跳骤停，经抢救无效死亡。",http://wjw.ah.gov.cn/news_details_54777.html,,,,2020/2/10 9:47,手动,张彦玲,未核查,,,,,,,,,,,
