,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名
1,省级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,,,11,24,11,,261,81,35,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0—24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市1例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
2,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,地区待确定,,,,11,,,,35,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0—24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市2例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
3,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,福州市,,1,7,,,63,21,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0—24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市3例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
4,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,福州市,仓山区,,3,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0—24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市4例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
5,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,福州市,晋安区,1,1,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0—24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市5例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
6,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,福州市,连江县,,,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0—24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市6例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
7,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,福州市,闽清县,,,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0—24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市7例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
8,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,福州市,地区待确定,,3,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0—24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市8例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
9,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,泉州市,,,1,,,42,3,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0—24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市9例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
10,区县级,2020/2/9 0:00,2020/2/10 0:00,中国,福建省,泉州市,惠安县,,,,,,,,,,,福建省卫健委,2020/2/10 11:00,"　2月9日0—24时，福建省报告新增新型冠状病毒肺炎确诊病例11例。其中：福州市1例（晋安区1例）；厦门市3例（思明区1例、集美区1例、翔安区1例）；莆田市4例（城厢区4例）
南平市2例（松溪县1例、建瓯市1例）；宁德市1例（古田县1例）。新增治愈出院病例11例。报告新增新型冠状病毒肺炎疑似病例24例。其中：福州市7例（鼓楼区1例、仓山区3例、晋安区1例、连江县1例、永泰县1例）厦门市5例（海沧区2例、湖里区1例、翔安区2例）；漳州市2例（东山县1例、华安县1例）；泉州市1例（晋江市1例）；三明市1例（大田县1例）；
莆田市6例（城厢区2例、荔城区3例、仙游县1例）；南平市1例（浦城县1例）；宁德市1例（福鼎市10例）。",http://wjw.fujian.gov.cn/xxgk/gzdt/wsjsyw/202002/t20200209_5192015.htm, ,,,2020/2/10 11:30,手动,周文刚
