从1开始累计,值为“国家级”、“省级”、“城市级”、“区县级”,格式为“YYYY/MM/DD HH:MM”,格式为“YYYY/MM/DD HH:MM”,,参照规范文件填写，包含直辖市,参照规范文件填写,参照规范文件填写,不能填0,不能填0,不能填0,不能填0,不能填0,不能填0,不能填0,不能填0,需要是负数,需要是负数,,格式为“YYYY/MM/DD HH:MM”,所有内容，包括标题,,格式为“YYYY/MM/DD HH:MM”,,,格式为“YYYY/MM/DD HH:MM”,值为“手动”、“自动”,,值为“未核查”、“已核查”,格式为“YYYY/MM/DD HH:MM”,值为“手动”、“自动”,,值为“核查通过”、“核查未通过”,,格式为“YYYY/MM/DD HH:MM”,格式为“YYYY/MM/DD HH:MM”,值为“手动”、“自动”,,值为“核查通过”、“核查未通过”,
序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,湛江市,,,,,,21,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
2,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,深圳市,,4,,,,368,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
3,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,广州市,,9,,,,313,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
4,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,珠海市,,2,,,,85,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
5,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,佛山市,,3,,,,68,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
6,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,东莞市,,2,,,,60,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
7,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,中山市,,5,,,,56,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
8,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,惠州市,,3,,,,50,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
9,地区级,2020/2/9 0:00,2020/2/10 0:00,中国,广东省,汕头市,,,,,,25,,,,,,广东省卫健委,2020/2/10 9:08,2020年2月10日广东省新冠肺炎疫情情况时间：2020-02-10?09:08:00?来源：本网截至2月9日24时，全省累计报告新冠肺炎确诊病例1151例。2月9日当天全省新增确诊病例31例。新增确诊病例中，广州市9例、中山市5例、深圳市4例、惠州市3例、佛山市3例、珠海市2例、江门市2例、东莞市2例、茂名市1例。另有疑似病例169例。有3158名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市368例、广州市313例、珠海市85例、佛山市68例、东莞市60例、中山市56例、惠州市50例、汕头市25例、湛江市21例、江门市19例、肇庆市14例、阳江市13例、梅州市13例、清远市10例、茂名市10例、揭阳市7例、韶关市6例、汕尾市5例、潮州市5例、河源市3例。男性565例，女性586例，年龄介于2月龄-90岁之间。截至2月9日24时，在院的1007例确诊病例中，轻型78例，普通型788例，重型101例，危重型40例。新增出院18例，累计出院143例。累计死亡1例,http://wsjkw.gd.gov.cn/xxgzbdfk/content/post_2889390.html,,,,2020/2/10 11:52,手动,郭瑶瑶,,,,,,,,,,,,
