序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,省级,2020/2/9 0:00,2020/2/10 0:00,中国,黑龙江省,,,24,65,2,1,331,224,15,7,,-15,黑龙江省卫健委,,"
最新疫情通报
发布来源：黑龙江省卫生健康委员会发布时间：2020-02-10点击数：2164

2020年2月9日0-24时,黑龙江省报告新型冠状病毒感染的肺炎新增确诊病例24例。新增出院病例2例。新增死亡病例1例。新增疑似病例65例。

截至2月9日24时,黑龙江省报告新型冠状病毒感染的肺炎确诊病例331例，其中：哈尔滨市128例、双鸭山市38例、绥化市37例、鸡西市34例、齐齐哈尔市30例、佳木斯市14例、七台河市14例、大庆市13例、牡丹江市12例、鹤岗市5例、黑河市4例、大兴安岭地区2例；现有重症病例44例。死亡病例7例，分别为绥化市确诊病例3例、大庆市确诊病例1例、双鸭山市确诊病例2例、齐齐哈尔市确诊病例1例。治愈出院病例15例，分别为哈尔滨市传染病医院7例、黑龙江省传染病防治院2例、双鸭山市人民医院1例、佳木斯市传染病医院1例、绥化市第一医院1例、牡丹江市第二人民医院1例、鹤岗市传染病医院1例、鸡西市传染病医院1例。现有疑似病例224例。

全省当日发热门诊诊疗人数1849人。目前追踪到密切接触者9922人, 已解除医学观察5516人，尚有4445人正在接受医学观察。 ",http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7770/navid/42/id/3,2020/2/10 7:57,人民网,http://hlj.people.com.cn/n2/2020/0210/c220024-33780025.html,2020/2/10 9:30,手动,王腾,未核查,,,,,,,,,,,
2,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,黑龙江省,哈尔滨市,,14,,,,128,,9,,,,黑龙江省卫健委,,"
最新疫情通报
发布来源：黑龙江省卫生健康委员会发布时间：2020-02-10点击数：2164

2020年2月9日0-24时,黑龙江省报告新型冠状病毒感染的肺炎新增确诊病例24例。新增出院病例2例。新增死亡病例1例。新增疑似病例65例。

截至2月9日24时,黑龙江省报告新型冠状病毒感染的肺炎确诊病例331例，其中：哈尔滨市128例、双鸭山市38例、绥化市37例、鸡西市34例、齐齐哈尔市30例、佳木斯市14例、七台河市14例、大庆市13例、牡丹江市12例、鹤岗市5例、黑河市4例、大兴安岭地区2例；现有重症病例44例。死亡病例7例，分别为绥化市确诊病例3例、大庆市确诊病例1例、双鸭山市确诊病例2例、齐齐哈尔市确诊病例1例。治愈出院病例15例，分别为哈尔滨市传染病医院7例、黑龙江省传染病防治院2例、双鸭山市人民医院1例、佳木斯市传染病医院1例、绥化市第一医院1例、牡丹江市第二人民医院1例、鹤岗市传染病医院1例、鸡西市传染病医院1例。现有疑似病例224例。

全省当日发热门诊诊疗人数1849人。目前追踪到密切接触者9922人, 已解除医学观察5516人，尚有4445人正在接受医学观察。 ",http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7770/navid/42/id/3,2020/2/10 7:57,人民网,http://hlj.people.com.cn/n2/2020/0210/c220024-33780025.html,2020/2/10 9:30,手动,王腾,未核查,,,,,,,,,,,
3,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,黑龙江省,齐齐哈尔市,,3,,,1,30,,,1,,,黑龙江省卫健委,,"
最新疫情通报
发布来源：黑龙江省卫生健康委员会发布时间：2020-02-10点击数：2164

2020年2月9日0-24时,黑龙江省报告新型冠状病毒感染的肺炎新增确诊病例24例。新增出院病例2例。新增死亡病例1例。新增疑似病例65例。

截至2月9日24时,黑龙江省报告新型冠状病毒感染的肺炎确诊病例331例，其中：哈尔滨市128例、双鸭山市38例、绥化市37例、鸡西市34例、齐齐哈尔市30例、佳木斯市14例、七台河市14例、大庆市13例、牡丹江市12例、鹤岗市5例、黑河市4例、大兴安岭地区2例；现有重症病例44例。死亡病例7例，分别为绥化市确诊病例3例、大庆市确诊病例1例、双鸭山市确诊病例2例、齐齐哈尔市确诊病例1例。治愈出院病例15例，分别为哈尔滨市传染病医院7例、黑龙江省传染病防治院2例、双鸭山市人民医院1例、佳木斯市传染病医院1例、绥化市第一医院1例、牡丹江市第二人民医院1例、鹤岗市传染病医院1例、鸡西市传染病医院1例。现有疑似病例224例。

全省当日发热门诊诊疗人数1849人。目前追踪到密切接触者9922人, 已解除医学观察5516人，尚有4445人正在接受医学观察。 ",http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7770/navid/42/id/3,2020/2/10 7:57,人民网,http://hlj.people.com.cn/n2/2020/0210/c220024-33780025.html,2020/2/10 9:30,手动,王腾,未核查,,,,,,,,,,,
4,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,黑龙江省,鸡西市,,,,1,,34,,1,,,,黑龙江省卫健委,,"
最新疫情通报
发布来源：黑龙江省卫生健康委员会发布时间：2020-02-10点击数：2164

2020年2月9日0-24时,黑龙江省报告新型冠状病毒感染的肺炎新增确诊病例24例。新增出院病例2例。新增死亡病例1例。新增疑似病例65例。

截至2月9日24时,黑龙江省报告新型冠状病毒感染的肺炎确诊病例331例，其中：哈尔滨市128例、双鸭山市38例、绥化市37例、鸡西市34例、齐齐哈尔市30例、佳木斯市14例、七台河市14例、大庆市13例、牡丹江市12例、鹤岗市5例、黑河市4例、大兴安岭地区2例；现有重症病例44例。死亡病例7例，分别为绥化市确诊病例3例、大庆市确诊病例1例、双鸭山市确诊病例2例、齐齐哈尔市确诊病例1例。治愈出院病例15例，分别为哈尔滨市传染病医院7例、黑龙江省传染病防治院2例、双鸭山市人民医院1例、佳木斯市传染病医院1例、绥化市第一医院1例、牡丹江市第二人民医院1例、鹤岗市传染病医院1例、鸡西市传染病医院1例。现有疑似病例224例。

全省当日发热门诊诊疗人数1849人。目前追踪到密切接触者9922人, 已解除医学观察5516人，尚有4445人正在接受医学观察。 ",http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7770/navid/42/id/3,2020/2/10 7:57,人民网,http://hlj.people.com.cn/n2/2020/0210/c220024-33780025.html,2020/2/10 9:30,手动,王腾,未核查,,,,,,,,,,,
5,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,黑龙江省,鹤岗市,,1,,1,,5,,1,,,,黑龙江省卫健委,,"
最新疫情通报
发布来源：黑龙江省卫生健康委员会发布时间：2020-02-10点击数：2164

2020年2月9日0-24时,黑龙江省报告新型冠状病毒感染的肺炎新增确诊病例24例。新增出院病例2例。新增死亡病例1例。新增疑似病例65例。

截至2月9日24时,黑龙江省报告新型冠状病毒感染的肺炎确诊病例331例，其中：哈尔滨市128例、双鸭山市38例、绥化市37例、鸡西市34例、齐齐哈尔市30例、佳木斯市14例、七台河市14例、大庆市13例、牡丹江市12例、鹤岗市5例、黑河市4例、大兴安岭地区2例；现有重症病例44例。死亡病例7例，分别为绥化市确诊病例3例、大庆市确诊病例1例、双鸭山市确诊病例2例、齐齐哈尔市确诊病例1例。治愈出院病例15例，分别为哈尔滨市传染病医院7例、黑龙江省传染病防治院2例、双鸭山市人民医院1例、佳木斯市传染病医院1例、绥化市第一医院1例、牡丹江市第二人民医院1例、鹤岗市传染病医院1例、鸡西市传染病医院1例。现有疑似病例224例。

全省当日发热门诊诊疗人数1849人。目前追踪到密切接触者9922人, 已解除医学观察5516人，尚有4445人正在接受医学观察。 ",http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7770/navid/42/id/3,2020/2/10 7:57,人民网,http://hlj.people.com.cn/n2/2020/0210/c220024-33780025.html,2020/2/10 9:30,手动,王腾,未核查,,,,,,,,,,,
6,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,黑龙江省,双鸭山市,,,,,,38,,1,2,,,黑龙江省卫健委,,"
最新疫情通报
发布来源：黑龙江省卫生健康委员会发布时间：2020-02-10点击数：2164

2020年2月9日0-24时,黑龙江省报告新型冠状病毒感染的肺炎新增确诊病例24例。新增出院病例2例。新增死亡病例1例。新增疑似病例65例。

截至2月9日24时,黑龙江省报告新型冠状病毒感染的肺炎确诊病例331例，其中：哈尔滨市128例、双鸭山市38例、绥化市37例、鸡西市34例、齐齐哈尔市30例、佳木斯市14例、七台河市14例、大庆市13例、牡丹江市12例、鹤岗市5例、黑河市4例、大兴安岭地区2例；现有重症病例44例。死亡病例7例，分别为绥化市确诊病例3例、大庆市确诊病例1例、双鸭山市确诊病例2例、齐齐哈尔市确诊病例1例。治愈出院病例15例，分别为哈尔滨市传染病医院7例、黑龙江省传染病防治院2例、双鸭山市人民医院1例、佳木斯市传染病医院1例、绥化市第一医院1例、牡丹江市第二人民医院1例、鹤岗市传染病医院1例、鸡西市传染病医院1例。现有疑似病例224例。

全省当日发热门诊诊疗人数1849人。目前追踪到密切接触者9922人, 已解除医学观察5516人，尚有4445人正在接受医学观察。 ",http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7770/navid/42/id/3,2020/2/10 7:57,人民网,http://hlj.people.com.cn/n2/2020/0210/c220024-33780025.html,2020/2/10 9:30,手动,王腾,未核查,,,,,,,,,,,
7,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,黑龙江省,大庆市,,,,,,13,,,1,,,黑龙江省卫健委,,"
最新疫情通报
发布来源：黑龙江省卫生健康委员会发布时间：2020-02-10点击数：2164

2020年2月9日0-24时,黑龙江省报告新型冠状病毒感染的肺炎新增确诊病例24例。新增出院病例2例。新增死亡病例1例。新增疑似病例65例。

截至2月9日24时,黑龙江省报告新型冠状病毒感染的肺炎确诊病例331例，其中：哈尔滨市128例、双鸭山市38例、绥化市37例、鸡西市34例、齐齐哈尔市30例、佳木斯市14例、七台河市14例、大庆市13例、牡丹江市12例、鹤岗市5例、黑河市4例、大兴安岭地区2例；现有重症病例44例。死亡病例7例，分别为绥化市确诊病例3例、大庆市确诊病例1例、双鸭山市确诊病例2例、齐齐哈尔市确诊病例1例。治愈出院病例15例，分别为哈尔滨市传染病医院7例、黑龙江省传染病防治院2例、双鸭山市人民医院1例、佳木斯市传染病医院1例、绥化市第一医院1例、牡丹江市第二人民医院1例、鹤岗市传染病医院1例、鸡西市传染病医院1例。现有疑似病例224例。

全省当日发热门诊诊疗人数1849人。目前追踪到密切接触者9922人, 已解除医学观察5516人，尚有4445人正在接受医学观察。 ",http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7770/navid/42/id/3,2020/2/10 7:57,人民网,http://hlj.people.com.cn/n2/2020/0210/c220024-33780025.html,2020/2/10 9:30,手动,王腾,未核查,,,,,,,,,,,
8,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,黑龙江省,伊春市,,,,,,,,,,,,黑龙江省卫健委,,"
最新疫情通报
发布来源：黑龙江省卫生健康委员会发布时间：2020-02-10点击数：2164

2020年2月9日0-24时,黑龙江省报告新型冠状病毒感染的肺炎新增确诊病例24例。新增出院病例2例。新增死亡病例1例。新增疑似病例65例。

截至2月9日24时,黑龙江省报告新型冠状病毒感染的肺炎确诊病例331例，其中：哈尔滨市128例、双鸭山市38例、绥化市37例、鸡西市34例、齐齐哈尔市30例、佳木斯市14例、七台河市14例、大庆市13例、牡丹江市12例、鹤岗市5例、黑河市4例、大兴安岭地区2例；现有重症病例44例。死亡病例7例，分别为绥化市确诊病例3例、大庆市确诊病例1例、双鸭山市确诊病例2例、齐齐哈尔市确诊病例1例。治愈出院病例15例，分别为哈尔滨市传染病医院7例、黑龙江省传染病防治院2例、双鸭山市人民医院1例、佳木斯市传染病医院1例、绥化市第一医院1例、牡丹江市第二人民医院1例、鹤岗市传染病医院1例、鸡西市传染病医院1例。现有疑似病例224例。

全省当日发热门诊诊疗人数1849人。目前追踪到密切接触者9922人, 已解除医学观察5516人，尚有4445人正在接受医学观察。 ",http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7770/navid/42/id/3,2020/2/10 7:57,人民网,http://hlj.people.com.cn/n2/2020/0210/c220024-33780025.html,2020/2/10 9:30,手动,王腾,未核查,,,,,,,,,,,
9,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,黑龙江省,佳木斯市,,1,,,,14,,1,,,,黑龙江省卫健委,,"
最新疫情通报
发布来源：黑龙江省卫生健康委员会发布时间：2020-02-10点击数：2164

2020年2月9日0-24时,黑龙江省报告新型冠状病毒感染的肺炎新增确诊病例24例。新增出院病例2例。新增死亡病例1例。新增疑似病例65例。

截至2月9日24时,黑龙江省报告新型冠状病毒感染的肺炎确诊病例331例，其中：哈尔滨市128例、双鸭山市38例、绥化市37例、鸡西市34例、齐齐哈尔市30例、佳木斯市14例、七台河市14例、大庆市13例、牡丹江市12例、鹤岗市5例、黑河市4例、大兴安岭地区2例；现有重症病例44例。死亡病例7例，分别为绥化市确诊病例3例、大庆市确诊病例1例、双鸭山市确诊病例2例、齐齐哈尔市确诊病例1例。治愈出院病例15例，分别为哈尔滨市传染病医院7例、黑龙江省传染病防治院2例、双鸭山市人民医院1例、佳木斯市传染病医院1例、绥化市第一医院1例、牡丹江市第二人民医院1例、鹤岗市传染病医院1例、鸡西市传染病医院1例。现有疑似病例224例。

全省当日发热门诊诊疗人数1849人。目前追踪到密切接触者9922人, 已解除医学观察5516人，尚有4445人正在接受医学观察。 ",http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7770/navid/42/id/3,2020/2/10 7:57,人民网,http://hlj.people.com.cn/n2/2020/0210/c220024-33780025.html,2020/2/10 9:30,手动,王腾,未核查,,,,,,,,,,,
10,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,黑龙江省,七台河市,,1,,,,14,,,,,,黑龙江省卫健委,,"
最新疫情通报
发布来源：黑龙江省卫生健康委员会发布时间：2020-02-10点击数：2164

2020年2月9日0-24时,黑龙江省报告新型冠状病毒感染的肺炎新增确诊病例24例。新增出院病例2例。新增死亡病例1例。新增疑似病例65例。

截至2月9日24时,黑龙江省报告新型冠状病毒感染的肺炎确诊病例331例，其中：哈尔滨市128例、双鸭山市38例、绥化市37例、鸡西市34例、齐齐哈尔市30例、佳木斯市14例、七台河市14例、大庆市13例、牡丹江市12例、鹤岗市5例、黑河市4例、大兴安岭地区2例；现有重症病例44例。死亡病例7例，分别为绥化市确诊病例3例、大庆市确诊病例1例、双鸭山市确诊病例2例、齐齐哈尔市确诊病例1例。治愈出院病例15例，分别为哈尔滨市传染病医院7例、黑龙江省传染病防治院2例、双鸭山市人民医院1例、佳木斯市传染病医院1例、绥化市第一医院1例、牡丹江市第二人民医院1例、鹤岗市传染病医院1例、鸡西市传染病医院1例。现有疑似病例224例。

全省当日发热门诊诊疗人数1849人。目前追踪到密切接触者9922人, 已解除医学观察5516人，尚有4445人正在接受医学观察。 ",http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7770/navid/42/id/3,2020/2/10 7:57,人民网,http://hlj.people.com.cn/n2/2020/0210/c220024-33780025.html,2020/2/10 9:30,手动,王腾,未核查,,,,,,,,,,,
