从1开始累计,值为“国家级”、“省级”、“城市级”、“区县级”,格式为“YYYY/MM/DD HH:MM”,格式为“YYYY/MM/DD HH:MM”,,参照规范文件填写，包含直辖市,参照规范文件填写,参照规范文件填写,不能填0,不能填0,不能填0,不能填0,不能填0,不能填0,不能填0,不能填0,需要是负数,需要是负数,,格式为“YYYY/MM/DD HH:MM”,所有内容，包括标题,,格式为“YYYY/MM/DD HH:MM”,,,格式为“YYYY/MM/DD HH:MM”,值为“手动”、“自动”,,值为“未核查”、“已核查”,格式为“YYYY/MM/DD HH:MM”,值为“手动”、“自动”,,值为“核查通过”、“核查未通过”,,格式为“YYYY/MM/DD HH:MM”,格式为“YYYY/MM/DD HH:MM”,值为“手动”、“自动”,,值为“核查通过”、“核查未通过”,,
序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注,
 ,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,武汉,,1921,,167,73,16902,,,681,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
 ,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,孝感,,105,,36,4,2541,,,33,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,43869.58333,手动,李xx,核查通过,,,,,,,,
 ,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,黄冈,,115,,52,2,2252,,,45,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,43869.64583,自动,qc1,核查未通过,张xx,#######,#######,手动,王xx,核查通过,,
,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,随州,,65,,,1,1049,,,10,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,荆州,,48,,12,2,1045,,,15,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,襄阳,,57,,2,2,1019,,,9,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,黄石,,52,,14,1,805,,,3,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,宜昌,,45,,7,,749,,,8,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,荆门,,12,,15,1,641,,,20,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,鄂州,,89,,6,3,725,,,24,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,咸宁,,14,,21,,507,,,4,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,十堰,,14,,6,,481,,,,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,仙桃,,37,,,2,416,,,7,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,天门,,20,,9,,217,,,10,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,恩施州,,21,,4,,187,,,,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,潜江,,3,,1,,85,,,2,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,神农架,,,,4,,10,,,,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
,地区级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,地区待确认,,,,,,,,,,,,湖北省卫健委,2020/2/9 6:14:00,,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
,省级,2020/2/9 0:00:00,2020/2/10 0:00:00,中国,湖北省,,,2618,-5200,356,91,29631,18438,1795,871,,,湖北省卫健委,2020/2/9 6:14:00,"2020年2月9日湖北省新型冠状病毒肺炎疫情情  况  2020年2月9日0时-24时，湖北省新增新型冠状病毒肺炎病例2618例，其中：武汉市1921例、黄冈市115例、孝感市105例、鄂州市89例、随州市65例、襄阳市57例、黄石市52例、荆州市48例、宜昌市45例、仙桃市37例、恩施州21例、天门市20例、十堰市14例、咸宁市14例、荆门市12例、潜江市3例。全省新增死亡91例，其中：武汉市73例、孝感市4例、鄂州市3例、襄阳市2例、荆州市2例、黄冈市2例、仙桃市2例、黄石市1例、荆门市1例、随州市1例。新增出院356例，其中：武汉市167例、黄冈市52例、孝感市36例、咸宁市21例、荆门市15例、黄石市14例、荆州市12例、天门市9例、宜昌市7例、十堰市6例、鄂州市6例、恩施州4例、神农架林区4例、襄阳市2例、潜江市1例。  截至2020年2月9日24时，湖北省累计报告新型冠状病毒肺炎病例29631例，其中：武汉市16902例、孝感市2541例、黄冈市2252例、随州市1049例、荆州市1045例、襄阳市1019例、黄石市805例、宜昌市749例、鄂州市725例、荆门市641例、咸宁市507例、十堰市481例、仙桃市416例、天门市217例、恩施州187例、潜江市85例、神农架林区10例。全省累计治愈出院1795例。全省累计死亡871例，病死率2.94%，其中：天门市10例、病死率4.61%，武汉市681例、病死率4.03%，鄂州市24例、病死率3.31%，荆门市20例、病死率3.12%，潜江市2例、病死率2.35%，黄冈市45例、病死率2 %，仙桃市7例、病死率1.68%，荆州市15例、病死率1.44%，孝感市33例、病死率1.3%，宜昌市8例、病死率1.07%，随州市10例、病死率0.95%,襄阳市9例、病死率0.88%，咸宁市4例、病死率0.79%，黄石市3例、病死率0.37%。目前仍在院治疗22160例，其中：重症4269例、危重症1236例，均在定点医疗机构接受隔离治疗。现有疑似病例18438人，其中集中隔离14388人，当日排除7194人。累计追踪密切接触者132555人，尚在接受医学观察73127人。",http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200210_2022514.shtml,,,,2020/2/10 10:00:00,手动,林增敏,,,,,,,,,,,,,
