序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,省级,2020/2/9 0:00,2020/2/10 0:00,中国,吉林省,,,2,15,7,,80,40,12,1,,,吉林省卫健委,,"吉林省卫生健康委员会关于新型冠状病毒肺炎疫情情况通报（2020年2月10日公布）

    时间：2020-02-10 来源：吉林省卫生健康委员会 字体显示：小中大 

　　2月9日0-24时，全省新增确诊病例2例（长春市2例），由疑似病例转为确诊病例1例，在密切接触者中主动开展核酸检测筛查出1例。新增出院患者7例（长春市5例，延边州2例）。

　　截至2月9日24时，全省累计报告确诊病例80例，累计治愈出院12例（长春市6例，吉林市2例，延边州2例，松原市1例，公主岭市1例），死亡1例（四平市），现在院隔离治疗确诊病例67例。其中长春市33例，吉林市3例，延边州3例，四平市11例，通化市3例，白城市1例，辽源市6例，松原市1例，公主岭市5例，梅河口市1例。在院治疗确诊病例中，62例为普通病例，2例为重症病例（长春市1例，松原市1例），3例为危重症病例（长春市1例，白城市1例，公主岭市1例）。

　　上述确诊病例的密切接触者2806人，已解除医学观察1732人，正在指定地点隔离或居家隔离医学观察1074人。累计在密切接触者中主动开展核酸检测筛查出感染者10例。

　　2月9日0-24时，全省原有56例疑似病例中，转为确诊病例1例，排除疑似病例30例；新增疑似病例15例；现有疑似病例40例，已全部隔离治疗，目前正在进一步明确诊断。

　　病例1，女，1942年出生。近期无外出旅居史。1月22日曾在百屹会馆洗澡，1月24日曾与家人在天下晓酒店（南湖大路店）大厅就餐。住址为长春市南关区东岭南街达顺小区。

　　病例2，男，1968年出生。系2月9日吉林省通报的长春市参加居然之家年会的确诊病例父亲，有共同生活史。住址为长春市经开区首地首城。

　　近期，我省确诊病例和疑似病例有逐渐增加的趋势，原输入性确诊病例的密切接触者发病增多，并呈现家庭聚集性。我省将进一步加大社区、村屯防控力度，对密切接触者严格落实隔离医学观察措施。提醒居家医学观察人员，务必落实自我隔离措施，避免感染亲人，防止家庭聚集性传播。

　　提醒广大群众，如您是从疫情发生省份返回人员，或是与以上确诊病例同住一个小区有密切接触的人员，应主动到当地社区做好筛查登记，配合专业人员开展医学观察，一旦出现发热、咳嗽等急性呼吸道症状，请到当地定点医疗机构发热门诊就诊。",http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200210_6829498.html,2020/2/10 8:12,人民网,http://jl.people.com.cn/n2/2020/0210/c349771-33780181.html,2020/2/10 10:00,手动,王腾,未核查,,,,,,,,,,,
2,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,吉林省,长春市,,2,,5,,39,,6,,,,吉林省卫健委,,"吉林省卫生健康委员会关于新型冠状病毒肺炎疫情情况通报（2020年2月10日公布）

    时间：2020-02-10 来源：吉林省卫生健康委员会 字体显示：小中大 

　　2月9日0-24时，全省新增确诊病例2例（长春市2例），由疑似病例转为确诊病例1例，在密切接触者中主动开展核酸检测筛查出1例。新增出院患者7例（长春市5例，延边州2例）。

　　截至2月9日24时，全省累计报告确诊病例80例，累计治愈出院12例（长春市6例，吉林市2例，延边州2例，松原市1例，公主岭市1例），死亡1例（四平市），现在院隔离治疗确诊病例67例。其中长春市33例，吉林市3例，延边州3例，四平市11例，通化市3例，白城市1例，辽源市6例，松原市1例，公主岭市5例，梅河口市1例。在院治疗确诊病例中，62例为普通病例，2例为重症病例（长春市1例，松原市1例），3例为危重症病例（长春市1例，白城市1例，公主岭市1例）。

　　上述确诊病例的密切接触者2806人，已解除医学观察1732人，正在指定地点隔离或居家隔离医学观察1074人。累计在密切接触者中主动开展核酸检测筛查出感染者10例。

　　2月9日0-24时，全省原有56例疑似病例中，转为确诊病例1例，排除疑似病例30例；新增疑似病例15例；现有疑似病例40例，已全部隔离治疗，目前正在进一步明确诊断。

　　病例1，女，1942年出生。近期无外出旅居史。1月22日曾在百屹会馆洗澡，1月24日曾与家人在天下晓酒店（南湖大路店）大厅就餐。住址为长春市南关区东岭南街达顺小区。

　　病例2，男，1968年出生。系2月9日吉林省通报的长春市参加居然之家年会的确诊病例父亲，有共同生活史。住址为长春市经开区首地首城。

　　近期，我省确诊病例和疑似病例有逐渐增加的趋势，原输入性确诊病例的密切接触者发病增多，并呈现家庭聚集性。我省将进一步加大社区、村屯防控力度，对密切接触者严格落实隔离医学观察措施。提醒居家医学观察人员，务必落实自我隔离措施，避免感染亲人，防止家庭聚集性传播。

　　提醒广大群众，如您是从疫情发生省份返回人员，或是与以上确诊病例同住一个小区有密切接触的人员，应主动到当地社区做好筛查登记，配合专业人员开展医学观察，一旦出现发热、咳嗽等急性呼吸道症状，请到当地定点医疗机构发热门诊就诊。",http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200210_6829498.html,2020/2/10 8:12,人民网,http://jl.people.com.cn/n2/2020/0210/c349771-33780181.html,2020/2/10 10:00,手动,王腾,未核查,,,,,,,,,,,
3,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,吉林省,吉林市,,,,,,5,,2,,,,吉林省卫健委,,"吉林省卫生健康委员会关于新型冠状病毒肺炎疫情情况通报（2020年2月10日公布）

    时间：2020-02-10 来源：吉林省卫生健康委员会 字体显示：小中大 

　　2月9日0-24时，全省新增确诊病例2例（长春市2例），由疑似病例转为确诊病例1例，在密切接触者中主动开展核酸检测筛查出1例。新增出院患者7例（长春市5例，延边州2例）。

　　截至2月9日24时，全省累计报告确诊病例80例，累计治愈出院12例（长春市6例，吉林市2例，延边州2例，松原市1例，公主岭市1例），死亡1例（四平市），现在院隔离治疗确诊病例67例。其中长春市33例，吉林市3例，延边州3例，四平市11例，通化市3例，白城市1例，辽源市6例，松原市1例，公主岭市5例，梅河口市1例。在院治疗确诊病例中，62例为普通病例，2例为重症病例（长春市1例，松原市1例），3例为危重症病例（长春市1例，白城市1例，公主岭市1例）。

　　上述确诊病例的密切接触者2806人，已解除医学观察1732人，正在指定地点隔离或居家隔离医学观察1074人。累计在密切接触者中主动开展核酸检测筛查出感染者10例。

　　2月9日0-24时，全省原有56例疑似病例中，转为确诊病例1例，排除疑似病例30例；新增疑似病例15例；现有疑似病例40例，已全部隔离治疗，目前正在进一步明确诊断。

　　病例1，女，1942年出生。近期无外出旅居史。1月22日曾在百屹会馆洗澡，1月24日曾与家人在天下晓酒店（南湖大路店）大厅就餐。住址为长春市南关区东岭南街达顺小区。

　　病例2，男，1968年出生。系2月9日吉林省通报的长春市参加居然之家年会的确诊病例父亲，有共同生活史。住址为长春市经开区首地首城。

　　近期，我省确诊病例和疑似病例有逐渐增加的趋势，原输入性确诊病例的密切接触者发病增多，并呈现家庭聚集性。我省将进一步加大社区、村屯防控力度，对密切接触者严格落实隔离医学观察措施。提醒居家医学观察人员，务必落实自我隔离措施，避免感染亲人，防止家庭聚集性传播。

　　提醒广大群众，如您是从疫情发生省份返回人员，或是与以上确诊病例同住一个小区有密切接触的人员，应主动到当地社区做好筛查登记，配合专业人员开展医学观察，一旦出现发热、咳嗽等急性呼吸道症状，请到当地定点医疗机构发热门诊就诊。",http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200210_6829498.html,2020/2/10 8:12,人民网,http://jl.people.com.cn/n2/2020/0210/c349771-33780181.html,2020/2/10 10:00,手动,王腾,未核查,,,,,,,,,,,
4,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,吉林省,四平市,,,,,,18,,1,1,,,吉林省卫健委,,"吉林省卫生健康委员会关于新型冠状病毒肺炎疫情情况通报（2020年2月10日公布）

    时间：2020-02-10 来源：吉林省卫生健康委员会 字体显示：小中大 

　　2月9日0-24时，全省新增确诊病例2例（长春市2例），由疑似病例转为确诊病例1例，在密切接触者中主动开展核酸检测筛查出1例。新增出院患者7例（长春市5例，延边州2例）。

　　截至2月9日24时，全省累计报告确诊病例80例，累计治愈出院12例（长春市6例，吉林市2例，延边州2例，松原市1例，公主岭市1例），死亡1例（四平市），现在院隔离治疗确诊病例67例。其中长春市33例，吉林市3例，延边州3例，四平市11例，通化市3例，白城市1例，辽源市6例，松原市1例，公主岭市5例，梅河口市1例。在院治疗确诊病例中，62例为普通病例，2例为重症病例（长春市1例，松原市1例），3例为危重症病例（长春市1例，白城市1例，公主岭市1例）。

　　上述确诊病例的密切接触者2806人，已解除医学观察1732人，正在指定地点隔离或居家隔离医学观察1074人。累计在密切接触者中主动开展核酸检测筛查出感染者10例。

　　2月9日0-24时，全省原有56例疑似病例中，转为确诊病例1例，排除疑似病例30例；新增疑似病例15例；现有疑似病例40例，已全部隔离治疗，目前正在进一步明确诊断。

　　病例1，女，1942年出生。近期无外出旅居史。1月22日曾在百屹会馆洗澡，1月24日曾与家人在天下晓酒店（南湖大路店）大厅就餐。住址为长春市南关区东岭南街达顺小区。

　　病例2，男，1968年出生。系2月9日吉林省通报的长春市参加居然之家年会的确诊病例父亲，有共同生活史。住址为长春市经开区首地首城。

　　近期，我省确诊病例和疑似病例有逐渐增加的趋势，原输入性确诊病例的密切接触者发病增多，并呈现家庭聚集性。我省将进一步加大社区、村屯防控力度，对密切接触者严格落实隔离医学观察措施。提醒居家医学观察人员，务必落实自我隔离措施，避免感染亲人，防止家庭聚集性传播。

　　提醒广大群众，如您是从疫情发生省份返回人员，或是与以上确诊病例同住一个小区有密切接触的人员，应主动到当地社区做好筛查登记，配合专业人员开展医学观察，一旦出现发热、咳嗽等急性呼吸道症状，请到当地定点医疗机构发热门诊就诊。",http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200210_6829498.html,2020/2/10 8:12,人民网,http://jl.people.com.cn/n2/2020/0210/c349771-33780181.html,2020/2/10 10:00,手动,王腾,未核查,,,,,,,,,,,
5,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,吉林省,辽源市,,,,,,6,,,,,,吉林省卫健委,,"吉林省卫生健康委员会关于新型冠状病毒肺炎疫情情况通报（2020年2月10日公布）

    时间：2020-02-10 来源：吉林省卫生健康委员会 字体显示：小中大 

　　2月9日0-24时，全省新增确诊病例2例（长春市2例），由疑似病例转为确诊病例1例，在密切接触者中主动开展核酸检测筛查出1例。新增出院患者7例（长春市5例，延边州2例）。

　　截至2月9日24时，全省累计报告确诊病例80例，累计治愈出院12例（长春市6例，吉林市2例，延边州2例，松原市1例，公主岭市1例），死亡1例（四平市），现在院隔离治疗确诊病例67例。其中长春市33例，吉林市3例，延边州3例，四平市11例，通化市3例，白城市1例，辽源市6例，松原市1例，公主岭市5例，梅河口市1例。在院治疗确诊病例中，62例为普通病例，2例为重症病例（长春市1例，松原市1例），3例为危重症病例（长春市1例，白城市1例，公主岭市1例）。

　　上述确诊病例的密切接触者2806人，已解除医学观察1732人，正在指定地点隔离或居家隔离医学观察1074人。累计在密切接触者中主动开展核酸检测筛查出感染者10例。

　　2月9日0-24时，全省原有56例疑似病例中，转为确诊病例1例，排除疑似病例30例；新增疑似病例15例；现有疑似病例40例，已全部隔离治疗，目前正在进一步明确诊断。

　　病例1，女，1942年出生。近期无外出旅居史。1月22日曾在百屹会馆洗澡，1月24日曾与家人在天下晓酒店（南湖大路店）大厅就餐。住址为长春市南关区东岭南街达顺小区。

　　病例2，男，1968年出生。系2月9日吉林省通报的长春市参加居然之家年会的确诊病例父亲，有共同生活史。住址为长春市经开区首地首城。

　　近期，我省确诊病例和疑似病例有逐渐增加的趋势，原输入性确诊病例的密切接触者发病增多，并呈现家庭聚集性。我省将进一步加大社区、村屯防控力度，对密切接触者严格落实隔离医学观察措施。提醒居家医学观察人员，务必落实自我隔离措施，避免感染亲人，防止家庭聚集性传播。

　　提醒广大群众，如您是从疫情发生省份返回人员，或是与以上确诊病例同住一个小区有密切接触的人员，应主动到当地社区做好筛查登记，配合专业人员开展医学观察，一旦出现发热、咳嗽等急性呼吸道症状，请到当地定点医疗机构发热门诊就诊。",http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200210_6829498.html,2020/2/10 8:12,人民网,http://jl.people.com.cn/n2/2020/0210/c349771-33780181.html,2020/2/10 10:00,手动,王腾,未核查,,,,,,,,,,,
6,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,吉林省,通化市,,,,,,4,,,,,,吉林省卫健委,,"吉林省卫生健康委员会关于新型冠状病毒肺炎疫情情况通报（2020年2月10日公布）

    时间：2020-02-10 来源：吉林省卫生健康委员会 字体显示：小中大 

　　2月9日0-24时，全省新增确诊病例2例（长春市2例），由疑似病例转为确诊病例1例，在密切接触者中主动开展核酸检测筛查出1例。新增出院患者7例（长春市5例，延边州2例）。

　　截至2月9日24时，全省累计报告确诊病例80例，累计治愈出院12例（长春市6例，吉林市2例，延边州2例，松原市1例，公主岭市1例），死亡1例（四平市），现在院隔离治疗确诊病例67例。其中长春市33例，吉林市3例，延边州3例，四平市11例，通化市3例，白城市1例，辽源市6例，松原市1例，公主岭市5例，梅河口市1例。在院治疗确诊病例中，62例为普通病例，2例为重症病例（长春市1例，松原市1例），3例为危重症病例（长春市1例，白城市1例，公主岭市1例）。

　　上述确诊病例的密切接触者2806人，已解除医学观察1732人，正在指定地点隔离或居家隔离医学观察1074人。累计在密切接触者中主动开展核酸检测筛查出感染者10例。

　　2月9日0-24时，全省原有56例疑似病例中，转为确诊病例1例，排除疑似病例30例；新增疑似病例15例；现有疑似病例40例，已全部隔离治疗，目前正在进一步明确诊断。

　　病例1，女，1942年出生。近期无外出旅居史。1月22日曾在百屹会馆洗澡，1月24日曾与家人在天下晓酒店（南湖大路店）大厅就餐。住址为长春市南关区东岭南街达顺小区。

　　病例2，男，1968年出生。系2月9日吉林省通报的长春市参加居然之家年会的确诊病例父亲，有共同生活史。住址为长春市经开区首地首城。

　　近期，我省确诊病例和疑似病例有逐渐增加的趋势，原输入性确诊病例的密切接触者发病增多，并呈现家庭聚集性。我省将进一步加大社区、村屯防控力度，对密切接触者严格落实隔离医学观察措施。提醒居家医学观察人员，务必落实自我隔离措施，避免感染亲人，防止家庭聚集性传播。

　　提醒广大群众，如您是从疫情发生省份返回人员，或是与以上确诊病例同住一个小区有密切接触的人员，应主动到当地社区做好筛查登记，配合专业人员开展医学观察，一旦出现发热、咳嗽等急性呼吸道症状，请到当地定点医疗机构发热门诊就诊。",http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200210_6829498.html,2020/2/10 8:12,人民网,http://jl.people.com.cn/n2/2020/0210/c349771-33780181.html,2020/2/10 10:00,手动,王腾,未核查,,,,,,,,,,,
7,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,吉林省,白山市,,,,,,,,,,,,吉林省卫健委,,"吉林省卫生健康委员会关于新型冠状病毒肺炎疫情情况通报（2020年2月10日公布）

    时间：2020-02-10 来源：吉林省卫生健康委员会 字体显示：小中大 

　　2月9日0-24时，全省新增确诊病例2例（长春市2例），由疑似病例转为确诊病例1例，在密切接触者中主动开展核酸检测筛查出1例。新增出院患者7例（长春市5例，延边州2例）。

　　截至2月9日24时，全省累计报告确诊病例80例，累计治愈出院12例（长春市6例，吉林市2例，延边州2例，松原市1例，公主岭市1例），死亡1例（四平市），现在院隔离治疗确诊病例67例。其中长春市33例，吉林市3例，延边州3例，四平市11例，通化市3例，白城市1例，辽源市6例，松原市1例，公主岭市5例，梅河口市1例。在院治疗确诊病例中，62例为普通病例，2例为重症病例（长春市1例，松原市1例），3例为危重症病例（长春市1例，白城市1例，公主岭市1例）。

　　上述确诊病例的密切接触者2806人，已解除医学观察1732人，正在指定地点隔离或居家隔离医学观察1074人。累计在密切接触者中主动开展核酸检测筛查出感染者10例。

　　2月9日0-24时，全省原有56例疑似病例中，转为确诊病例1例，排除疑似病例30例；新增疑似病例15例；现有疑似病例40例，已全部隔离治疗，目前正在进一步明确诊断。

　　病例1，女，1942年出生。近期无外出旅居史。1月22日曾在百屹会馆洗澡，1月24日曾与家人在天下晓酒店（南湖大路店）大厅就餐。住址为长春市南关区东岭南街达顺小区。

　　病例2，男，1968年出生。系2月9日吉林省通报的长春市参加居然之家年会的确诊病例父亲，有共同生活史。住址为长春市经开区首地首城。

　　近期，我省确诊病例和疑似病例有逐渐增加的趋势，原输入性确诊病例的密切接触者发病增多，并呈现家庭聚集性。我省将进一步加大社区、村屯防控力度，对密切接触者严格落实隔离医学观察措施。提醒居家医学观察人员，务必落实自我隔离措施，避免感染亲人，防止家庭聚集性传播。

　　提醒广大群众，如您是从疫情发生省份返回人员，或是与以上确诊病例同住一个小区有密切接触的人员，应主动到当地社区做好筛查登记，配合专业人员开展医学观察，一旦出现发热、咳嗽等急性呼吸道症状，请到当地定点医疗机构发热门诊就诊。",http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200210_6829498.html,2020/2/10 8:12,人民网,http://jl.people.com.cn/n2/2020/0210/c349771-33780181.html,2020/2/10 10:00,手动,王腾,未核查,,,,,,,,,,,
8,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,吉林省,松原市,,,,,,2,,1,,,,吉林省卫健委,,"吉林省卫生健康委员会关于新型冠状病毒肺炎疫情情况通报（2020年2月10日公布）

    时间：2020-02-10 来源：吉林省卫生健康委员会 字体显示：小中大 

　　2月9日0-24时，全省新增确诊病例2例（长春市2例），由疑似病例转为确诊病例1例，在密切接触者中主动开展核酸检测筛查出1例。新增出院患者7例（长春市5例，延边州2例）。

　　截至2月9日24时，全省累计报告确诊病例80例，累计治愈出院12例（长春市6例，吉林市2例，延边州2例，松原市1例，公主岭市1例），死亡1例（四平市），现在院隔离治疗确诊病例67例。其中长春市33例，吉林市3例，延边州3例，四平市11例，通化市3例，白城市1例，辽源市6例，松原市1例，公主岭市5例，梅河口市1例。在院治疗确诊病例中，62例为普通病例，2例为重症病例（长春市1例，松原市1例），3例为危重症病例（长春市1例，白城市1例，公主岭市1例）。

　　上述确诊病例的密切接触者2806人，已解除医学观察1732人，正在指定地点隔离或居家隔离医学观察1074人。累计在密切接触者中主动开展核酸检测筛查出感染者10例。

　　2月9日0-24时，全省原有56例疑似病例中，转为确诊病例1例，排除疑似病例30例；新增疑似病例15例；现有疑似病例40例，已全部隔离治疗，目前正在进一步明确诊断。

　　病例1，女，1942年出生。近期无外出旅居史。1月22日曾在百屹会馆洗澡，1月24日曾与家人在天下晓酒店（南湖大路店）大厅就餐。住址为长春市南关区东岭南街达顺小区。

　　病例2，男，1968年出生。系2月9日吉林省通报的长春市参加居然之家年会的确诊病例父亲，有共同生活史。住址为长春市经开区首地首城。

　　近期，我省确诊病例和疑似病例有逐渐增加的趋势，原输入性确诊病例的密切接触者发病增多，并呈现家庭聚集性。我省将进一步加大社区、村屯防控力度，对密切接触者严格落实隔离医学观察措施。提醒居家医学观察人员，务必落实自我隔离措施，避免感染亲人，防止家庭聚集性传播。

　　提醒广大群众，如您是从疫情发生省份返回人员，或是与以上确诊病例同住一个小区有密切接触的人员，应主动到当地社区做好筛查登记，配合专业人员开展医学观察，一旦出现发热、咳嗽等急性呼吸道症状，请到当地定点医疗机构发热门诊就诊。",http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200210_6829498.html,2020/2/10 8:12,人民网,http://jl.people.com.cn/n2/2020/0210/c349771-33780181.html,2020/2/10 10:00,手动,王腾,未核查,,,,,,,,,,,
9,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,吉林省,白城市,,,,,,1,,,,,,吉林省卫健委,,"吉林省卫生健康委员会关于新型冠状病毒肺炎疫情情况通报（2020年2月10日公布）

    时间：2020-02-10 来源：吉林省卫生健康委员会 字体显示：小中大 

　　2月9日0-24时，全省新增确诊病例2例（长春市2例），由疑似病例转为确诊病例1例，在密切接触者中主动开展核酸检测筛查出1例。新增出院患者7例（长春市5例，延边州2例）。

　　截至2月9日24时，全省累计报告确诊病例80例，累计治愈出院12例（长春市6例，吉林市2例，延边州2例，松原市1例，公主岭市1例），死亡1例（四平市），现在院隔离治疗确诊病例67例。其中长春市33例，吉林市3例，延边州3例，四平市11例，通化市3例，白城市1例，辽源市6例，松原市1例，公主岭市5例，梅河口市1例。在院治疗确诊病例中，62例为普通病例，2例为重症病例（长春市1例，松原市1例），3例为危重症病例（长春市1例，白城市1例，公主岭市1例）。

　　上述确诊病例的密切接触者2806人，已解除医学观察1732人，正在指定地点隔离或居家隔离医学观察1074人。累计在密切接触者中主动开展核酸检测筛查出感染者10例。

　　2月9日0-24时，全省原有56例疑似病例中，转为确诊病例1例，排除疑似病例30例；新增疑似病例15例；现有疑似病例40例，已全部隔离治疗，目前正在进一步明确诊断。

　　病例1，女，1942年出生。近期无外出旅居史。1月22日曾在百屹会馆洗澡，1月24日曾与家人在天下晓酒店（南湖大路店）大厅就餐。住址为长春市南关区东岭南街达顺小区。

　　病例2，男，1968年出生。系2月9日吉林省通报的长春市参加居然之家年会的确诊病例父亲，有共同生活史。住址为长春市经开区首地首城。

　　近期，我省确诊病例和疑似病例有逐渐增加的趋势，原输入性确诊病例的密切接触者发病增多，并呈现家庭聚集性。我省将进一步加大社区、村屯防控力度，对密切接触者严格落实隔离医学观察措施。提醒居家医学观察人员，务必落实自我隔离措施，避免感染亲人，防止家庭聚集性传播。

　　提醒广大群众，如您是从疫情发生省份返回人员，或是与以上确诊病例同住一个小区有密切接触的人员，应主动到当地社区做好筛查登记，配合专业人员开展医学观察，一旦出现发热、咳嗽等急性呼吸道症状，请到当地定点医疗机构发热门诊就诊。",http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200210_6829498.html,2020/2/10 8:12,人民网,http://jl.people.com.cn/n2/2020/0210/c349771-33780181.html,2020/2/10 10:00,手动,王腾,未核查,,,,,,,,,,,
10,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,吉林省,延边朝鲜族自治州,,,,2,,5,,2,,,,吉林省卫健委,,"吉林省卫生健康委员会关于新型冠状病毒肺炎疫情情况通报（2020年2月10日公布）

    时间：2020-02-10 来源：吉林省卫生健康委员会 字体显示：小中大 

　　2月9日0-24时，全省新增确诊病例2例（长春市2例），由疑似病例转为确诊病例1例，在密切接触者中主动开展核酸检测筛查出1例。新增出院患者7例（长春市5例，延边州2例）。

　　截至2月9日24时，全省累计报告确诊病例80例，累计治愈出院12例（长春市6例，吉林市2例，延边州2例，松原市1例，公主岭市1例），死亡1例（四平市），现在院隔离治疗确诊病例67例。其中长春市33例，吉林市3例，延边州3例，四平市11例，通化市3例，白城市1例，辽源市6例，松原市1例，公主岭市5例，梅河口市1例。在院治疗确诊病例中，62例为普通病例，2例为重症病例（长春市1例，松原市1例），3例为危重症病例（长春市1例，白城市1例，公主岭市1例）。

　　上述确诊病例的密切接触者2806人，已解除医学观察1732人，正在指定地点隔离或居家隔离医学观察1074人。累计在密切接触者中主动开展核酸检测筛查出感染者10例。

　　2月9日0-24时，全省原有56例疑似病例中，转为确诊病例1例，排除疑似病例30例；新增疑似病例15例；现有疑似病例40例，已全部隔离治疗，目前正在进一步明确诊断。

　　病例1，女，1942年出生。近期无外出旅居史。1月22日曾在百屹会馆洗澡，1月24日曾与家人在天下晓酒店（南湖大路店）大厅就餐。住址为长春市南关区东岭南街达顺小区。

　　病例2，男，1968年出生。系2月9日吉林省通报的长春市参加居然之家年会的确诊病例父亲，有共同生活史。住址为长春市经开区首地首城。

　　近期，我省确诊病例和疑似病例有逐渐增加的趋势，原输入性确诊病例的密切接触者发病增多，并呈现家庭聚集性。我省将进一步加大社区、村屯防控力度，对密切接触者严格落实隔离医学观察措施。提醒居家医学观察人员，务必落实自我隔离措施，避免感染亲人，防止家庭聚集性传播。

　　提醒广大群众，如您是从疫情发生省份返回人员，或是与以上确诊病例同住一个小区有密切接触的人员，应主动到当地社区做好筛查登记，配合专业人员开展医学观察，一旦出现发热、咳嗽等急性呼吸道症状，请到当地定点医疗机构发热门诊就诊。",http://www.jl.gov.cn/szfzt/jlzxd/yqtb/202002/t20200210_6829498.html,2020/2/10 8:12,人民网,http://jl.people.com.cn/n2/2020/0210/c349771-33780181.html,2020/2/10 10:00,手动,王腾,未核查,,,,,,,,,,,
