序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,省级,2020/2/8 18:00,2020/2/9 19:00,中国,辽宁省,,,2,,4,,107,,12,,,,辽宁省卫健委,2020/2/9 19:46,"2020年2月8日18时至2月9日17时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 17:55:00 来源:

2020年2月8日18时至2月9日17时，辽宁省铁岭市新增1例输入性新型冠状病毒肺炎确诊病例,为普通型病例。新增出院病例4例，其中沈阳市2例、丹东市2例。

截至2020年2月9日17时，辽宁省累计报告新型冠状病毒肺炎确诊病例106例，治愈出院 12例。106例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市10例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前94名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 94名在治患者中，64例病例为输入性病例，30例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。 2020年2月9日17时至19时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 19:46:00 来源:

2020年2月9日17时至19时，辽宁省锦州市新增1例新型冠状病毒肺炎确诊病例,为普通型病例。

截至2020年2月9日19时， 辽宁省累计报告新型冠状病毒肺炎确诊病例107例，治愈出院12例。107例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市11例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前95名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 95名在治患者中，64例病例为输入性病例，31例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。",http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737063.html；http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737099.html,,,,2020/2/10 10:30,手动,王腾,未核查,,,,,,,,,,,
2,城市级,2020/2/8 18:00,2020/2/9 19:00,中国,辽宁省,沈阳市,,,,2,,26,,5,,,,辽宁省卫健委,2020/2/9 19:46,"2020年2月8日18时至2月9日17时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 17:55:00 来源:

2020年2月8日18时至2月9日17时，辽宁省铁岭市新增1例输入性新型冠状病毒肺炎确诊病例,为普通型病例。新增出院病例4例，其中沈阳市2例、丹东市2例。

截至2020年2月9日17时，辽宁省累计报告新型冠状病毒肺炎确诊病例106例，治愈出院 12例。106例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市10例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前94名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 94名在治患者中，64例病例为输入性病例，30例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。 2020年2月9日17时至19时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 19:46:00 来源:

2020年2月9日17时至19时，辽宁省锦州市新增1例新型冠状病毒肺炎确诊病例,为普通型病例。

截至2020年2月9日19时， 辽宁省累计报告新型冠状病毒肺炎确诊病例107例，治愈出院12例。107例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市11例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前95名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 95名在治患者中，64例病例为输入性病例，31例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。",http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737063.html；http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737099.html,,,,2020/2/10 10:30,手动,王腾,未核查,,,,,,,,,,,
3,城市级,2020/2/8 18:00,2020/2/9 19:00,中国,辽宁省,大连市,,,,,,16,,3,,,,辽宁省卫健委,2020/2/9 19:46,"2020年2月8日18时至2月9日17时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 17:55:00 来源:

2020年2月8日18时至2月9日17时，辽宁省铁岭市新增1例输入性新型冠状病毒肺炎确诊病例,为普通型病例。新增出院病例4例，其中沈阳市2例、丹东市2例。

截至2020年2月9日17时，辽宁省累计报告新型冠状病毒肺炎确诊病例106例，治愈出院 12例。106例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市10例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前94名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 94名在治患者中，64例病例为输入性病例，30例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。 2020年2月9日17时至19时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 19:46:00 来源:

2020年2月9日17时至19时，辽宁省锦州市新增1例新型冠状病毒肺炎确诊病例,为普通型病例。

截至2020年2月9日19时， 辽宁省累计报告新型冠状病毒肺炎确诊病例107例，治愈出院12例。107例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市11例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前95名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 95名在治患者中，64例病例为输入性病例，31例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。",http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737063.html；http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737099.html,,,,2020/2/10 10:30,手动,王腾,未核查,,,,,,,,,,,
4,城市级,2020/2/8 18:00,2020/2/9 19:00,中国,辽宁省,鞍山市,,,,,,3,,,,,,辽宁省卫健委,2020/2/9 19:46,"2020年2月8日18时至2月9日17时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 17:55:00 来源:

2020年2月8日18时至2月9日17时，辽宁省铁岭市新增1例输入性新型冠状病毒肺炎确诊病例,为普通型病例。新增出院病例4例，其中沈阳市2例、丹东市2例。

截至2020年2月9日17时，辽宁省累计报告新型冠状病毒肺炎确诊病例106例，治愈出院 12例。106例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市10例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前94名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 94名在治患者中，64例病例为输入性病例，30例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。 2020年2月9日17时至19时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 19:46:00 来源:

2020年2月9日17时至19时，辽宁省锦州市新增1例新型冠状病毒肺炎确诊病例,为普通型病例。

截至2020年2月9日19时， 辽宁省累计报告新型冠状病毒肺炎确诊病例107例，治愈出院12例。107例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市11例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前95名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 95名在治患者中，64例病例为输入性病例，31例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。",http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737063.html；http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737099.html,,,,2020/2/10 10:30,手动,王腾,未核查,,,,,,,,,,,
5,城市级,2020/2/8 18:00,2020/2/9 19:00,中国,辽宁省,抚顺市,,,,,,,,,,,,辽宁省卫健委,2020/2/9 19:46,"2020年2月8日18时至2月9日17时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 17:55:00 来源:

2020年2月8日18时至2月9日17时，辽宁省铁岭市新增1例输入性新型冠状病毒肺炎确诊病例,为普通型病例。新增出院病例4例，其中沈阳市2例、丹东市2例。

截至2020年2月9日17时，辽宁省累计报告新型冠状病毒肺炎确诊病例106例，治愈出院 12例。106例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市10例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前94名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 94名在治患者中，64例病例为输入性病例，30例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。 2020年2月9日17时至19时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 19:46:00 来源:

2020年2月9日17时至19时，辽宁省锦州市新增1例新型冠状病毒肺炎确诊病例,为普通型病例。

截至2020年2月9日19时， 辽宁省累计报告新型冠状病毒肺炎确诊病例107例，治愈出院12例。107例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市11例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前95名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 95名在治患者中，64例病例为输入性病例，31例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。",http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737063.html；http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737099.html,,,,2020/2/10 10:30,手动,王腾,未核查,,,,,,,,,,,
6,城市级,2020/2/8 18:00,2020/2/9 19:00,中国,辽宁省,本溪市,,,,,,3,,,,,,辽宁省卫健委,2020/2/9 19:46,"2020年2月8日18时至2月9日17时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 17:55:00 来源:

2020年2月8日18时至2月9日17时，辽宁省铁岭市新增1例输入性新型冠状病毒肺炎确诊病例,为普通型病例。新增出院病例4例，其中沈阳市2例、丹东市2例。

截至2020年2月9日17时，辽宁省累计报告新型冠状病毒肺炎确诊病例106例，治愈出院 12例。106例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市10例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前94名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 94名在治患者中，64例病例为输入性病例，30例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。 2020年2月9日17时至19时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 19:46:00 来源:

2020年2月9日17时至19时，辽宁省锦州市新增1例新型冠状病毒肺炎确诊病例,为普通型病例。

截至2020年2月9日19时， 辽宁省累计报告新型冠状病毒肺炎确诊病例107例，治愈出院12例。107例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市11例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前95名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 95名在治患者中，64例病例为输入性病例，31例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。",http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737063.html；http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737099.html,,,,2020/2/10 10:30,手动,王腾,未核查,,,,,,,,,,,
7,城市级,2020/2/8 18:00,2020/2/9 19:00,中国,辽宁省,丹东市,,,,2,,7,,3,,,,辽宁省卫健委,2020/2/9 19:46,"2020年2月8日18时至2月9日17时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 17:55:00 来源:

2020年2月8日18时至2月9日17时，辽宁省铁岭市新增1例输入性新型冠状病毒肺炎确诊病例,为普通型病例。新增出院病例4例，其中沈阳市2例、丹东市2例。

截至2020年2月9日17时，辽宁省累计报告新型冠状病毒肺炎确诊病例106例，治愈出院 12例。106例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市10例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前94名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 94名在治患者中，64例病例为输入性病例，30例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。 2020年2月9日17时至19时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 19:46:00 来源:

2020年2月9日17时至19时，辽宁省锦州市新增1例新型冠状病毒肺炎确诊病例,为普通型病例。

截至2020年2月9日19时， 辽宁省累计报告新型冠状病毒肺炎确诊病例107例，治愈出院12例。107例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市11例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前95名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 95名在治患者中，64例病例为输入性病例，31例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。",http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737063.html；http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737099.html,,,,2020/2/10 10:30,手动,王腾,未核查,,,,,,,,,,,
8,城市级,2020/2/8 18:00,2020/2/9 19:00,中国,辽宁省,锦州市,,1,,,,11,,1,,,,辽宁省卫健委,2020/2/9 19:46,"2020年2月8日18时至2月9日17时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 17:55:00 来源:

2020年2月8日18时至2月9日17时，辽宁省铁岭市新增1例输入性新型冠状病毒肺炎确诊病例,为普通型病例。新增出院病例4例，其中沈阳市2例、丹东市2例。

截至2020年2月9日17时，辽宁省累计报告新型冠状病毒肺炎确诊病例106例，治愈出院 12例。106例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市10例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前94名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 94名在治患者中，64例病例为输入性病例，30例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。 2020年2月9日17时至19时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 19:46:00 来源:

2020年2月9日17时至19时，辽宁省锦州市新增1例新型冠状病毒肺炎确诊病例,为普通型病例。

截至2020年2月9日19时， 辽宁省累计报告新型冠状病毒肺炎确诊病例107例，治愈出院12例。107例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市11例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前95名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 95名在治患者中，64例病例为输入性病例，31例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。",http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737063.html；http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737099.html,,,,2020/2/10 10:30,手动,王腾,未核查,,,,,,,,,,,
9,城市级,2020/2/8 18:00,2020/2/9 19:00,中国,辽宁省,营口市,,,,,,1,,,,,,辽宁省卫健委,2020/2/9 19:46,"2020年2月8日18时至2月9日17时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 17:55:00 来源:

2020年2月8日18时至2月9日17时，辽宁省铁岭市新增1例输入性新型冠状病毒肺炎确诊病例,为普通型病例。新增出院病例4例，其中沈阳市2例、丹东市2例。

截至2020年2月9日17时，辽宁省累计报告新型冠状病毒肺炎确诊病例106例，治愈出院 12例。106例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市10例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前94名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 94名在治患者中，64例病例为输入性病例，30例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。 2020年2月9日17时至19时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 19:46:00 来源:

2020年2月9日17时至19时，辽宁省锦州市新增1例新型冠状病毒肺炎确诊病例,为普通型病例。

截至2020年2月9日19时， 辽宁省累计报告新型冠状病毒肺炎确诊病例107例，治愈出院12例。107例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市11例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前95名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 95名在治患者中，64例病例为输入性病例，31例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。",http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737063.html；http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737099.html,,,,2020/2/10 10:30,手动,王腾,未核查,,,,,,,,,,,
10,城市级,2020/2/8 18:00,2020/2/9 19:00,中国,辽宁省,阜新市,,,,,,7,,,,,,辽宁省卫健委,2020/2/9 19:46,"2020年2月8日18时至2月9日17时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 17:55:00 来源:

2020年2月8日18时至2月9日17时，辽宁省铁岭市新增1例输入性新型冠状病毒肺炎确诊病例,为普通型病例。新增出院病例4例，其中沈阳市2例、丹东市2例。

截至2020年2月9日17时，辽宁省累计报告新型冠状病毒肺炎确诊病例106例，治愈出院 12例。106例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市10例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前94名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 94名在治患者中，64例病例为输入性病例，30例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。 2020年2月9日17时至19时辽宁新型冠状病毒肺炎疫情情况
发布时间： 2020-02-09 19:46:00 来源:

2020年2月9日17时至19时，辽宁省锦州市新增1例新型冠状病毒肺炎确诊病例,为普通型病例。

截至2020年2月9日19时， 辽宁省累计报告新型冠状病毒肺炎确诊病例107例，治愈出院12例。107例确诊病例中，沈阳市26例、大连市16例、鞍山市3例、本溪市3例、丹东市7例、锦州市11例、营口市1例、阜新市7例、辽阳市3例、铁岭市4例、朝阳市6例、盘锦市11例、葫芦岛市9例。

目前95名在治患者均在定点医疗机构隔离治疗，其中重型病例12例，危重型病例2例。 95名在治患者中，64例病例为输入性病例，31例病例为本地感染病例。

目前累计追踪到密切接触者2004人，已解除医学观察1296人，现有697人正在接受医学观察,11人正在追踪中。",http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737063.html；http://wsjk.ln.gov.cn/wst_zdzt/xxgzbd/yqtb/202002/t20200209_3737099.html,,,,2020/2/10 10:30,手动,王腾,未核查,,,,,,,,,,,
