序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,省级,2020/2/9 10:00,2020/2/10 10:00,中国,陕西省,,,5,88,6,,213,375,26,,,-1,陕西省卫生健康委员会,2020年02月10日 10:01,截至2月10日10时，陕西新增5例新冠肺炎确诊病例，新增疑似病例88例。新增确诊病例中，西安市2例、咸阳市1例、渭南市1例、安康市1例。陕西累计报告新冠肺炎确诊病例213例（26例治愈出院），其中输入性病例111例，密切接触者90例，无明确接触史病例12例。累计确诊病例中，西安市98例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市14例、延安市8例、榆林市3例、汉中市21例、安康市22例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例375例。全省新增密切接触者964人，累计10986人，均集中医学观察。新增解除密切接触者677人，累计解除密切接触者5303人。,http://sxwjw.shaanxi.gov.cn/art/2020/2/10/art_9_67901.html,,,,2020/2/10 10:28,手动,吕慧,已核查,,,,,,,,,,,
2,地区级,2020/2/9 10:00,2020/2/10 10:00,中国,陕西省,安康市,,1,,,,22,,,,,,陕西省卫生健康委员会,2020年02月10日 10:01,截至2月10日10时，陕西新增5例新冠肺炎确诊病例，新增疑似病例88例。新增确诊病例中，西安市2例、咸阳市1例、渭南市1例、安康市1例。陕西累计报告新冠肺炎确诊病例213例（26例治愈出院），其中输入性病例111例，密切接触者90例，无明确接触史病例12例。累计确诊病例中，西安市98例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市14例、延安市8例、榆林市3例、汉中市21例、安康市22例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例375例。全省新增密切接触者964人，累计10986人，均集中医学观察。新增解除密切接触者677人，累计解除密切接触者5303人。,http://sxwjw.shaanxi.gov.cn/art/2020/2/10/art_9_67901.html,,,,2020/2/10 10:28,手动,吕慧,已核查,,,,,,,,,,,
3,地区级,2020/2/9 10:00,2020/2/10 10:00,中国,陕西省,宝鸡市,,,,,,13,,,,,,陕西省卫生健康委员会,2020年02月10日 10:01,截至2月10日10时，陕西新增5例新冠肺炎确诊病例，新增疑似病例88例。新增确诊病例中，西安市2例、咸阳市1例、渭南市1例、安康市1例。陕西累计报告新冠肺炎确诊病例213例（26例治愈出院），其中输入性病例111例，密切接触者90例，无明确接触史病例12例。累计确诊病例中，西安市98例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市14例、延安市8例、榆林市3例、汉中市21例、安康市22例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例375例。全省新增密切接触者964人，累计10986人，均集中医学观察。新增解除密切接触者677人，累计解除密切接触者5303人。,http://sxwjw.shaanxi.gov.cn/art/2020/2/10/art_9_67901.html,,,,2020/2/10 10:28,手动,吕慧,已核查,,,,,,,,,,,
4,地区级,2020/2/9 10:00,2020/2/10 10:00,中国,陕西省,韩城市,,,,,,1,,,,,,陕西省卫生健康委员会,2020年02月10日 10:01,截至2月10日10时，陕西新增5例新冠肺炎确诊病例，新增疑似病例88例。新增确诊病例中，西安市2例、咸阳市1例、渭南市1例、安康市1例。陕西累计报告新冠肺炎确诊病例213例（26例治愈出院），其中输入性病例111例，密切接触者90例，无明确接触史病例12例。累计确诊病例中，西安市98例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市14例、延安市8例、榆林市3例、汉中市21例、安康市22例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例375例。全省新增密切接触者964人，累计10986人，均集中医学观察。新增解除密切接触者677人，累计解除密切接触者5303人。,http://sxwjw.shaanxi.gov.cn/art/2020/2/10/art_9_67901.html,,,,2020/2/10 10:28,手动,吕慧,已核查,,,,,,,,,,,
5,地区级,2020/2/9 10:00,2020/2/10 10:00,中国,陕西省,汉中市,,,,,,21,,,,,,陕西省卫生健康委员会,2020年02月10日 10:01,截至2月10日10时，陕西新增5例新冠肺炎确诊病例，新增疑似病例88例。新增确诊病例中，西安市2例、咸阳市1例、渭南市1例、安康市1例。陕西累计报告新冠肺炎确诊病例213例（26例治愈出院），其中输入性病例111例，密切接触者90例，无明确接触史病例12例。累计确诊病例中，西安市98例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市14例、延安市8例、榆林市3例、汉中市21例、安康市22例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例375例。全省新增密切接触者964人，累计10986人，均集中医学观察。新增解除密切接触者677人，累计解除密切接触者5303人。,http://sxwjw.shaanxi.gov.cn/art/2020/2/10/art_9_67901.html,,,,2020/2/10 10:28,手动,吕慧,已核查,,,,,,,,,,,
6,地区级,2020/2/9 10:00,2020/2/10 10:00,中国,陕西省,商洛市,,,,,,7,,,,,,陕西省卫生健康委员会,2020年02月10日 10:01,截至2月10日10时，陕西新增5例新冠肺炎确诊病例，新增疑似病例88例。新增确诊病例中，西安市2例、咸阳市1例、渭南市1例、安康市1例。陕西累计报告新冠肺炎确诊病例213例（26例治愈出院），其中输入性病例111例，密切接触者90例，无明确接触史病例12例。累计确诊病例中，西安市98例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市14例、延安市8例、榆林市3例、汉中市21例、安康市22例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例375例。全省新增密切接触者964人，累计10986人，均集中医学观察。新增解除密切接触者677人，累计解除密切接触者5303人。,http://sxwjw.shaanxi.gov.cn/art/2020/2/10/art_9_67901.html,,,,2020/2/10 10:28,手动,吕慧,已核查,,,,,,,,,,,
7,地区级,2020/2/9 10:00,2020/2/10 10:00,中国,陕西省,铜川市,,,,,,8,,,,,,陕西省卫生健康委员会,2020年02月10日 10:01,截至2月10日10时，陕西新增5例新冠肺炎确诊病例，新增疑似病例88例。新增确诊病例中，西安市2例、咸阳市1例、渭南市1例、安康市1例。陕西累计报告新冠肺炎确诊病例213例（26例治愈出院），其中输入性病例111例，密切接触者90例，无明确接触史病例12例。累计确诊病例中，西安市98例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市14例、延安市8例、榆林市3例、汉中市21例、安康市22例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例375例。全省新增密切接触者964人，累计10986人，均集中医学观察。新增解除密切接触者677人，累计解除密切接触者5303人。,http://sxwjw.shaanxi.gov.cn/art/2020/2/10/art_9_67901.html,,,,2020/2/10 10:28,手动,吕慧,已核查,,,,,,,,,,,
8,地区级,2020/2/9 10:00,2020/2/10 10:00,中国,陕西省,渭南市,,1,,,,14,,,,,,陕西省卫生健康委员会,2020年02月10日 10:01,截至2月10日10时，陕西新增5例新冠肺炎确诊病例，新增疑似病例88例。新增确诊病例中，西安市2例、咸阳市1例、渭南市1例、安康市1例。陕西累计报告新冠肺炎确诊病例213例（26例治愈出院），其中输入性病例111例，密切接触者90例，无明确接触史病例12例。累计确诊病例中，西安市98例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市14例、延安市8例、榆林市3例、汉中市21例、安康市22例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例375例。全省新增密切接触者964人，累计10986人，均集中医学观察。新增解除密切接触者677人，累计解除密切接触者5303人。,http://sxwjw.shaanxi.gov.cn/art/2020/2/10/art_9_67901.html,,,,2020/2/10 10:28,手动,吕慧,已核查,,,,,,,,,,,
9,地区级,2020/2/9 10:00,2020/2/10 10:00,中国,陕西省,西安市,,2,,,,98,,1,,,-1,陕西省卫生健康委员会,2020年02月10日 10:01,截至2月10日10时，陕西新增5例新冠肺炎确诊病例，新增疑似病例88例。新增确诊病例中，西安市2例、咸阳市1例、渭南市1例、安康市1例。陕西累计报告新冠肺炎确诊病例213例（26例治愈出院），其中输入性病例111例，密切接触者90例，无明确接触史病例12例。累计确诊病例中，西安市98例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市14例、延安市8例、榆林市3例、汉中市21例、安康市22例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例375例。全省新增密切接触者964人，累计10986人，均集中医学观察。新增解除密切接触者677人，累计解除密切接触者5303人。,http://sxwjw.shaanxi.gov.cn/art/2020/2/10/art_9_67901.html,,,,2020/2/10 10:28,手动,吕慧,已核查,,,,,,,,,,,
10,地区级,2020/2/9 10:00,2020/2/10 10:00,中国,陕西省,咸阳市,,1,,,,17,,,,,,陕西省卫生健康委员会,2020年02月10日 10:01,截至2月10日10时，陕西新增5例新冠肺炎确诊病例，新增疑似病例88例。新增确诊病例中，西安市2例、咸阳市1例、渭南市1例、安康市1例。陕西累计报告新冠肺炎确诊病例213例（26例治愈出院），其中输入性病例111例，密切接触者90例，无明确接触史病例12例。累计确诊病例中，西安市98例、宝鸡市13例、咸阳市17例、铜川市8例、渭南市14例、延安市8例、榆林市3例、汉中市21例、安康市22例、商洛市7例、杨凌示范区1例，韩城市1例。全省现有疑似病例375例。全省新增密切接触者964人，累计10986人，均集中医学观察。新增解除密切接触者677人，累计解除密切接触者5303人。,http://sxwjw.shaanxi.gov.cn/art/2020/2/10/art_9_67901.html,,,,2020/2/10 10:28,手动,吕慧,已核查,,,,,,,,,,,
