序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,宝坻区,,3,,,,32,,,,,,天津市卫健委,2020/2/9 22:38,至2月9日6时，天津市新增新冠肺炎确诊病例2例，累计确诊病例90例。2月9日6时至18时 天津市新增1例新冠肺炎确诊病例 累计确诊病例91例,http://wsjk.tj.gov.cn/art/2020/2/9/art_87_70710.html,,,,2020/2/10 11:53,手动,陈诺,未核查,,,,,,,,,,,
2,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,河东区,,,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,
3,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,河北区,,,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,
4,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,和平区,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,
5,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,河西区,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,宁河区,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,东丽区,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,西青区,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,南开区,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,滨海新区,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,红桥区,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
12,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,津南区,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,北辰区,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,武清区,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,外地来津,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,地区待确认,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
17,省级,2020/2/9 0:00,2020/2/10 0:00,中国,天津市,,,3,,,,91,,4,1,,,,,,,,,,,,,,,,,,,,,,,,
