序号,统计级别,数据起始时间,数据结束时间,国家,省份,城市,区县,新增确诊人数,新增疑似人数,新增治愈人数,新增死亡人数,累计确诊人数,累计疑似人数,累计治愈人数,累计死亡人数,核减人数,累计核减人数,数据源,数据发布时间,数据源文本,数据源链接,数据间接发布时间,数据间接发布来源,数据间接发布来源链接,数据收集时间,数据收集方式,数据收集人员/程序姓名,数据是否核查,数据首次核查时间,数据首次核查方式,数据首次核查人员/程序姓名,数据首次核查状态,更正人员,更正时间,数据再次核查时间,数据再次核查方式,数据再次核查人员/程序姓名,数据再次核查状态,备注
1,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,浙江省,杭州市,,2,,12,,155,,41,,,,浙江省卫健委,2020/2/10 9:00,2020年2月10日浙江省新型冠状病毒肺炎疫情情况 2020年2月9日0-24时，浙江省报告新型冠状病毒肺炎新增确诊病例29例，新增出院病例28例。其中：新增确诊病例中，杭州市2例、宁波市3例、温州市16例、嘉兴市2例、绍兴市3例、台州市3例；新增出院病例中，杭州市12例、宁波市2例、温州市8例、嘉兴市2例、金华市2例、台州市2例。截至2月9日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1092例（杭州市核减12例），现有重症病例80例（其中危重24例），累计出院201例。其中：确诊病例中，杭州市155例、宁波市149例、温州市464例、湖州市10例、嘉兴市40例、绍兴市41例、金华市53例、衢州市15例、舟山市7例、台州市141例、丽水市17例；重症病例中，杭州市15例、宁波市9例、温州市28例、湖州市1例、嘉兴市6例、绍兴市5例、金华市5例、舟山市1例、台州市9例、丽水市1例；出院病例中，杭州市41例、宁波市15例、温州市78例、湖州市1例、嘉兴市3例、绍兴市8例、金华市15例、衢州市3例、舟山市5例、台州市27例、丽水市5例。全省共追踪到密切接触者30795人，当日解除医学观察2508人，尚有13293人正在接受医学观察。,http://www.zjwjw.gov.cn/art/2020/2/10/art_1202101_41894522.html,,,,2020/2/10 9:20,手动,陈诺,未核查,,,,,,,,,,,
2,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,浙江省,宁波市,,3,,2,,149,,15,,,,,,,,,,,,,,,,,,,,,,,,,
3,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,浙江省,温州市,,16,,8,,464,,78,,,,,,,,,,,,,,,,,,,,,,,,,
4,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,浙江省,湖州市,,,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,
5,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,浙江省,嘉兴市,,2,,2,,40,,3,,,,,,,,,,,,,,,,,,,,,,,,,
6,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,浙江省,绍兴市,,3,,,,41,,8,,,,,,,,,,,,,,,,,,,,,,,,,
7,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,浙江省,金华市,,,,2,,53,,15,,,,,,,,,,,,,,,,,,,,,,,,,
8,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,浙江省,衢州市,,,,,,15,,3,,,,,,,,,,,,,,,,,,,,,,,,,
9,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,浙江省,舟山市,,,,,,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,
10,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,浙江省,台州市,,3,,2,,141,,27,,,,,,,,,,,,,,,,,,,,,,,,,
11,城市级,2020/2/9 0:00,2020/2/10 0:00,中国,浙江省,丽水市,,,,,,17,,5,,,,,,,,,,,,,,,,,,,,,,,,,
12,省级,2020/2/9 0:00,2020/2/10 0:00,中国,浙江省,,,29,,28,,1092,,201,,,,,,,,,,,,,,,,,,,,,,,,,
