公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月10日,省级,安徽,,,,,,,,,,
1月10日,省级,澳门,,,,,,,,,,
1月10日,省级,北京,,,,,,,,,,
1月10日,省级,福建,,,,,,,,,,
1月10日,省级,甘肃,,,,,,,,,,
1月10日,省级,广东,,,,,,,,,,
1月10日,省级,广西,,,,,,,,,,
1月10日,省级,贵州,,,,,,,,,,
1月10日,省级,海南,,,,,,,,,,
1月10日,省级,河北,,,,,,,,,,
1月10日,省级,河南,,,,,,,,,,
1月10日,省级,黑龙江,,,,,,,,,,
1月10日,地区级,湖北,武汉,41,2,1,,,,,,
1月10日,省级,湖北,,41,2,1,,,,,2,1
1月10日,省级,湖南,,,,,,,,,,
1月10日,省级,吉林,,,,,,,,,,
1月10日,省级,江苏,,,,,,,,,,
1月10日,省级,江西,,,,,,,,,,
1月10日,省级,辽宁,,,,,,,,,,
1月10日,省级,内蒙古,,,,,,,,,,
1月10日,省级,宁夏,,,,,,,,,,
1月10日,省级,青海,,,,,,,,,,
1月10日,省级,山东,,,,,,,,,,
1月10日,省级,山西,,,,,,,,,,
1月10日,省级,陕西,,,,,,,,,,
1月10日,省级,上海,,,,,,,,,,
1月10日,省级,四川,,,,,,,,,,
1月10日,省级,台湾,,,,,,,,,,
1月10日,省级,天津,,,,,,,,,,
1月10日,省级,西藏,,,,,,,,,,
1月10日,省级,香港,,,,,,,,,,
1月10日,省级,新疆,,,,,,,,,,
1月10日,省级,云南,,,,,,,,,,
1月10日,省级,浙江,,,,,,,,,,
1月10日,省级,重庆,,,,,,,,,,
1月10日,国家级,,,41,2,1,,,,,,
1月11日,省级,安徽,,,,,,,,,,
1月11日,省级,澳门,,,,,,,,,,
1月11日,省级,北京,,,,,,,,,,
1月11日,省级,福建,,,,,,,,,,
1月11日,省级,甘肃,,,,,,,,,,
1月11日,省级,广东,,,,,,,,,,
1月11日,省级,广西,,,,,,,,,,
1月11日,省级,贵州,,,,,,,,,,
1月11日,省级,海南,,,,,,,,,,
1月11日,省级,河北,,,,,,,,,,
1月11日,省级,河南,,,,,,,,,,
1月11日,省级,黑龙江,,,,,,,,,,
1月11日,地区级,湖北,武汉,,4,,,,,,,
1月11日,省级,湖北,,,4,,,,,,6,1
1月11日,省级,湖南,,,,,,,,,,
1月11日,省级,吉林,,,,,,,,,,
1月11日,省级,江苏,,,,,,,,,,
1月11日,省级,江西,,,,,,,,,,
1月11日,省级,辽宁,,,,,,,,,,
1月11日,省级,内蒙古,,,,,,,,,,
1月11日,省级,宁夏,,,,,,,,,,
1月11日,省级,青海,,,,,,,,,,
1月11日,省级,山东,,,,,,,,,,
1月11日,省级,山西,,,,,,,,,,
1月11日,省级,陕西,,,,,,,,,,
1月11日,省级,上海,,,,,,,,,,
1月11日,省级,四川,,,,,,,,,,
1月11日,省级,台湾,,,,,,,,,,
1月11日,省级,天津,,,,,,,,,,
1月11日,省级,西藏,,,,,,,,,,
1月11日,省级,香港,,,,,,,,,,
1月11日,省级,新疆,,,,,,,,,,
1月11日,省级,云南,,,,,,,,,,
1月11日,省级,浙江,,,,,,,,,,
1月11日,省级,重庆,,,,,,,,,,
1月11日,国家级,,,,4,,,,,,,
1月12日,省级,安徽,,,,,,,,,,
1月12日,省级,澳门,,,,,,,,,,
1月12日,省级,北京,,,,,,,,,,
1月12日,省级,福建,,,,,,,,,,
1月12日,省级,甘肃,,,,,,,,,,
1月12日,省级,广东,,,,,,,,,,
1月12日,省级,广西,,,,,,,,,,
1月12日,省级,贵州,,,,,,,,,,
1月12日,省级,海南,,,,,,,,,,
1月12日,省级,河北,,,,,,,,,,
1月12日,省级,河南,,,,,,,,,,
1月12日,省级,黑龙江,,,,,,,,,,
1月12日,地区级,湖北,武汉,,1,,,,,,,
1月12日,省级,湖北,,,1,,,,,,7,1
1月12日,省级,湖南,,,,,,,,,,
1月12日,省级,吉林,,,,,,,,,,
1月12日,省级,江苏,,,,,,,,,,
1月12日,省级,江西,,,,,,,,,,
1月12日,省级,辽宁,,,,,,,,,,
1月12日,省级,内蒙古,,,,,,,,,,
1月12日,省级,宁夏,,,,,,,,,,
1月12日,省级,青海,,,,,,,,,,
1月12日,省级,山东,,,,,,,,,,
1月12日,省级,山西,,,,,,,,,,
1月12日,省级,陕西,,,,,,,,,,
1月12日,省级,上海,,,,,,,,,,
1月12日,省级,四川,,,,,,,,,,
1月12日,省级,台湾,,,,,,,,,,
1月12日,省级,天津,,,,,,,,,,
1月12日,省级,西藏,,,,,,,,,,
1月12日,省级,香港,,,,,,,,,,
1月12日,省级,新疆,,,,,,,,,,
1月12日,省级,云南,,,,,,,,,,
1月12日,省级,浙江,,,,,,,,,,
1月12日,省级,重庆,,,,,,,,,,
1月12日,国家级,,,,1,,,,,,,
1月13日,省级,安徽,,,,,,,,,,
1月13日,省级,澳门,,,,,,,,,,
1月13日,省级,北京,,,,,,,,,,
1月13日,省级,福建,,,,,,,,,,
1月13日,省级,甘肃,,,,,,,,,,
1月13日,省级,广东,,,,,,,,,,
1月13日,省级,广西,,,,,,,,,,
1月13日,省级,贵州,,,,,,,,,,
1月13日,省级,海南,,,,,,,,,,
1月13日,省级,河北,,,,,,,,,,
1月13日,省级,河南,,,,,,,,,,
1月13日,省级,黑龙江,,,,,,,,,,
1月13日,地区级,湖北,武汉,,,,,,,,,
1月13日,省级,湖北,,,,,,,,,,
1月13日,省级,湖南,,,,,,,,,,
1月13日,省级,吉林,,,,,,,,,,
1月13日,省级,江苏,,,,,,,,,,
1月13日,省级,江西,,,,,,,,,,
1月13日,省级,辽宁,,,,,,,,,,
1月13日,省级,内蒙古,,,,,,,,,,
1月13日,省级,宁夏,,,,,,,,,,
1月13日,省级,青海,,,,,,,,,,
1月13日,省级,山东,,,,,,,,,,
1月13日,省级,山西,,,,,,,,,,
1月13日,省级,陕西,,,,,,,,,,
1月13日,省级,上海,,,,,,,,,,
1月13日,省级,四川,,,,,,,,,,
1月13日,省级,台湾,,,,,,,,,,
1月13日,省级,天津,,,,,,,,,,
1月13日,省级,西藏,,,,,,,,,,
1月13日,省级,香港,,,,,,,,,,
1月13日,省级,新疆,,,,,,,,,,
1月13日,省级,云南,,,,,,,,,,
1月13日,省级,浙江,,,,,,,,,,
1月13日,省级,重庆,,,,,,,,,,
1月13日,国家级,,,,,,,,,,,
1月14日,省级,安徽,,,,,,,,,,
1月14日,省级,澳门,,,,,,,,,,
1月14日,省级,北京,,,,,,,,,,
1月14日,省级,福建,,,,,,,,,,
1月14日,省级,甘肃,,,,,,,,,,
1月14日,省级,广东,,,,,,,,,,
1月14日,省级,广西,,,,,,,,,,
1月14日,省级,贵州,,,,,,,,,,
1月14日,省级,海南,,,,,,,,,,
1月14日,省级,河北,,,,,,,,,,
1月14日,省级,河南,,,,,,,,,,
1月14日,省级,黑龙江,,,,,,,,,,
1月14日,地区级,湖北,武汉,,,,,,,,,
1月14日,省级,湖北,,,,,,,,,,
1月14日,省级,湖南,,,,,,,,,,
1月14日,省级,吉林,,,,,,,,,,
1月14日,省级,江苏,,,,,,,,,,
1月14日,省级,江西,,,,,,,,,,
1月14日,省级,辽宁,,,,,,,,,,
1月14日,省级,内蒙古,,,,,,,,,,
1月14日,省级,宁夏,,,,,,,,,,
1月14日,省级,青海,,,,,,,,,,
1月14日,省级,山东,,,,,,,,,,
1月14日,省级,山西,,,,,,,,,,
1月14日,省级,陕西,,,,,,,,,,
1月14日,省级,上海,,,,,,,,,,
1月14日,省级,四川,,,,,,,,,,
1月14日,省级,台湾,,,,,,,,,,
1月14日,省级,天津,,,,,,,,,,
1月14日,省级,西藏,,,,,,,,,,
1月14日,省级,香港,,,,,,,,,,
1月14日,省级,新疆,,,,,,,,,,
1月14日,省级,云南,,,,,,,,,,
1月14日,省级,浙江,,,,,,,,,,
1月14日,省级,重庆,,,,,,,,,,
1月14日,国家级,,,,,,,,,,,
1月15日,省级,安徽,,,,,,,,,,
1月15日,省级,澳门,,,,,,,,,,
1月15日,省级,北京,,,,,,,,,,
1月15日,省级,福建,,,,,,,,,,
1月15日,省级,甘肃,,,,,,,,,,
1月15日,省级,广东,,,,,,,,,,
1月15日,省级,广西,,,,,,,,,,
1月15日,省级,贵州,,,,,,,,,,
1月15日,省级,海南,,,,,,,,,,
1月15日,省级,河北,,,,,,,,,,
1月15日,省级,河南,,,,,,,,,,
1月15日,省级,黑龙江,,,,,,,,,,
1月15日,地区级,湖北,武汉,,5,1,,,,,,
1月15日,省级,湖北,,,5,1,,,,,12,2
1月15日,省级,湖南,,,,,,,,,,
1月15日,省级,吉林,,,,,,,,,,
1月15日,省级,江苏,,,,,,,,,,
1月15日,省级,江西,,,,,,,,,,
1月15日,省级,辽宁,,,,,,,,,,
1月15日,省级,内蒙古,,,,,,,,,,
1月15日,省级,宁夏,,,,,,,,,,
1月15日,省级,青海,,,,,,,,,,
1月15日,省级,山东,,,,,,,,,,
1月15日,省级,山西,,,,,,,,,,
1月15日,省级,陕西,,,,,,,,,,
1月15日,省级,上海,,,,,,,,,,
1月15日,省级,四川,,,,,,,,,,
1月15日,省级,台湾,,,,,,,,,,
1月15日,省级,天津,,,,,,,,,,
1月15日,省级,西藏,,,,,,,,,,
1月15日,省级,香港,,,,,,,,,,
1月15日,省级,新疆,,,,,,,,,,
1月15日,省级,云南,,,,,,,,,,
1月15日,省级,浙江,,,,,,,,,,
1月15日,省级,重庆,,,,,,,,,,
1月15日,国家级,,,,5,1,,,,,,
1月16日,省级,安徽,,,,,,,,,,
1月16日,省级,澳门,,,,,,,,,,
1月16日,省级,北京,,,,,,,,,,
1月16日,省级,福建,,,,,,,,,,
1月16日,省级,甘肃,,,,,,,,,,
1月16日,省级,广东,,,,,,,,,,
1月16日,省级,广西,,,,,,,,,,
1月16日,省级,贵州,,,,,,,,,,
1月16日,省级,海南,,,,,,,,,,
1月16日,省级,河北,,,,,,,,,,
1月16日,省级,河南,,,,,,,,,,
1月16日,省级,黑龙江,,,,,,,,,,
1月16日,地区级,湖北,武汉,4,3,,,,,,,
1月16日,省级,湖北,,4,3,,,,,,15,2
1月16日,省级,湖南,,,,,,,,,,
1月16日,省级,吉林,,,,,,,,,,
1月16日,省级,江苏,,,,,,,,,,
1月16日,省级,江西,,,,,,,,,,
1月16日,省级,辽宁,,,,,,,,,,
1月16日,省级,内蒙古,,,,,,,,,,
1月16日,省级,宁夏,,,,,,,,,,
1月16日,省级,青海,,,,,,,,,,
1月16日,省级,山东,,,,,,,,,,
1月16日,省级,山西,,,,,,,,,,
1月16日,省级,陕西,,,,,,,,,,
1月16日,省级,上海,,,,,,,,,,
1月16日,省级,四川,,,,,,,,,,
1月16日,省级,台湾,,,,,,,,,,
1月16日,省级,天津,,,,,,,,,,
1月16日,省级,西藏,,,,,,,,,,
1月16日,省级,香港,,,,,,,,,,
1月16日,省级,新疆,,,,,,,,,,
1月16日,省级,云南,,,,,,,,,,
1月16日,省级,浙江,,,,,,,,,,
1月16日,省级,重庆,,,,,,,,,,
1月16日,国家级,,,4,3,,,,,,,
1月17日,省级,安徽,,,,,,,,,,
1月17日,省级,澳门,,,,,,,,,,
1月17日,省级,北京,,,,,,,,,,
1月17日,省级,福建,,,,,,,,,,
1月17日,省级,甘肃,,,,,,,,,,
1月17日,省级,广东,,,,,,,,,,
1月17日,省级,广西,,,,,,,,,,
1月17日,省级,贵州,,,,,,,,,,
1月17日,省级,海南,,,,,,,,,,
1月17日,省级,河北,,,,,,,,,,
1月17日,省级,河南,,,,,,,,,,
1月17日,省级,黑龙江,,,,,,,,,,
1月17日,地区级,湖北,武汉,17,4,,,,,,,
